pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,sjr_quartile,pub_year,paper_type,type_confidence,pub_year,stance,stance_model,confidence,predictive_claim,stance_raw
37962570,2024,2024 Feb,"Is artificial intelligence ready to replace specialist doctors entirely? ENT specialists vs ChatGPT: 1-0, ball at the center.","PURPOSE: The purpose of this study is to evaluate ChatGPT's responses to Ear, Nose and Throat (ENT) clinical cases and compare them with the responses of ENT specialists. METHODS: We have hypothesized 10 scenarios, based on ENT daily experience, with the same primary symptom. We have constructed 20 clinical cases, 2 for each scenario. We described them to 3 ENT specialists and ChatGPT. The difficulty of the clinical cases was assessed by the 5 ENT authors of this article. The responses of ChatGPT were evaluated by the 5 ENT authors of this article for correctness and consistency with the responses of the 3 ENT experts. To verify the stability of ChatGPT's responses, we conducted the searches, always from the same account, for 5 consecutive days. RESULTS: Among the 20 cases, 8 were rated as low complexity, 6 as moderate complexity and 6 as high complexity. The overall mean correctness and consistency score of ChatGPT responses was 3.80 (SD 1.02) and 2.89 (SD 1.24), respectively. We did not find a statistically significant difference in the average ChatGPT correctness and coherence score according to case complexity. The total intraclass correlation coefficient (ICC) for the stability of the correctness and consistency of ChatGPT was 0.763 (95% confidence interval [CI] 0.553-0.895) and 0.837 (95% CI 0.689-0.927), respectively. CONCLUSIONS: Our results revealed the potential usefulness of ChatGPT in ENT diagnosis. The instability in responses and the inability to recognise certain clinical elements are its main limitations.",European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Eur Arch Otorhinolaryngol,Journal Article,Dallari Virginia,"Young Confederation of European ORL-HNS, Y-CEORL-HNS, Dublin, Ireland.",10.1007/s00405-023-08219-y,Q1,2024,evaluative,Medium,2024,Alarm,sonnet,High,yes,"{""stance"": ""Alarm"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
38031276,2024,2024 Feb,Can ChatGPT Aid Clinicians in Educating Patients on the Surgical Management of Glaucoma?,"PRÉCIS: ChatGPT can help health care providers automate the quality assessment of online health information, but it does not produce easier-to-understand responses compared with existing online health information. PURPOSE: To compare the readability of ChatGPT-generated health information about glaucoma surgery to existing material online and to evaluate ChatGPT's ability to analyze the quality of information found online about glaucoma surgery. METHODS: ChatGPT was asked to create patient handouts on glaucoma surgery using 7 independent prompts, aiming to generate sixth grade level reading material. Existing patient-targeted online health information about glaucoma surgery was selected from the top 50 search results of 3 search engines, excluding advertisements, blog posts, information intended for health professionals, irrelevant content, and duplicate links. Four validated tools were used to assess readability, and the readability of the ChatGPT-generated material was compared with the readability of existing online information. The DISCERN instrument was used for the quality assessment of online materials. The DISCERN instrument was also programmed to use ChatGPT to evaluate its ability to analyze quality. R software and descriptive statistics were used for data analysis. RESULTS: Thirty-five webpages were included. There was no difference between the reading level of online webpages (12th grade) and the reading level of ChatGPT-generated responses (11th grade), despite the ChatGPT prompts asking for simple language and a sixth grade reading level. The quality of health content was ""fair,"" with only 5 resources receiving an ""excellent"" score. ChatGPT scored the quality of health resources with high precision ( r =0.725). CONCLUSIONS: Patient-targeted information on glaucoma surgery is beyond the reading level of the average patient, therefore at risk of not being understood, and is of subpar quality, per DISCERN tool scoring. ChatGPT did not generate documents at a lower reading level as prompted, but this tool can aid in automating the time-consuming and subjective process of quality assessment.",Journal of glaucoma,J Glaucoma,Journal Article,Kianian Reza,"Department of Ophthalmology, Stein Eye Institute, David Geffen School of Medicine, University of California Los Angeles.",10.1097/IJG.0000000000002338,Q1,2024,evaluative,Medium,2024,Caution,sonnet,High,no,"{""stance"": ""Caution"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36708281,2024,2024 Jul,Novel AI-Based Algorithm for the Automated Computation of Coronal Parameters in Adolescent Idiopathic Scoliosis Patients: A Validation Study on 100 Preoperative Full Spine X-Rays.,"STUDY DESIGN: Retrospective, mono-centric cohort research study. OBJECTIVES: The purpose of this study is to validate a novel artificial intelligence (AI)-based algorithm against human-generated ground truth for radiographic parameters of adolescent idiopathic scoliosis (AIS). METHODS: An AI-algorithm was developed that is capable of detecting anatomical structures of interest (clavicles, cervical, thoracic, lumbar spine and sacrum) and calculate essential radiographic parameters in AP spine X-rays fully automatically. The evaluated parameters included T1-tilt, clavicle angle (CA), coronal balance (CB), lumbar modifier, and Cobb angles in the proximal thoracic (C-PT), thoracic, and thoracolumbar regions. Measurements from 2 experienced physicians on 100 preoperative AP full spine X-rays of AIS patients were used as ground truth and to evaluate inter-rater and intra-rater reliability. The agreement between human raters and AI was compared by means of single measure Intra-class Correlation Coefficients (ICC; absolute agreement; >.75 rated as excellent), mean error and additional statistical metrics. RESULTS: The comparison between human raters resulted in excellent ICC values for intra- (range: .97-1) and inter-rater (.85-.99) reliability. The algorithm was able to determine all parameters in 100% of images with excellent ICC values (.78-.98). Consistently with the human raters, ICC values were typically smallest for C-PT (eg, rater 1A vs AI: .78, mean error: 4.7°) and largest for CB (.96, -.5 mm) as well as CA (.98, .2°). CONCLUSIONS: The AI-algorithm shows excellent reliability and agreement with human raters for coronal parameters in preoperative full spine images. The reliability and speed offered by the AI-algorithm could contribute to the efficient analysis of large datasets (eg, registry studies) and measurements in clinical practice.",Global spine journal,Global Spine J,Journal Article,Berlin Clara,"Spine Surgery and Scoliosis Center,Schön Klinik Neustadt, Germany.",10.3171/2022.5.Spine22109,Q1,2024,evaluative,Medium,2024,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
38362184,2024,2024 Feb,Can ChatGPT help patients answer their otolaryngology questions?,"BACKGROUND: Over the past year, the world has been captivated by the potential of artificial intelligence (AI). The appetite for AI in science, specifically healthcare is huge. It is imperative to understand the credibility of large language models in assisting the public in medical queries. OBJECTIVE: To evaluate the ability of ChatGPT to provide reasonably accurate answers to public queries within the domain of Otolaryngology. METHODS: Two board-certified otolaryngologists (HZ, RS) inputted 30 text-based patient queries into the ChatGPT-3.5 model. ChatGPT responses were rated by physicians on a scale (accurate, partially accurate, incorrect), while a similar 3-point scale involving confidence was given to layperson reviewers. Demographic data involving gender and education level was recorded for the public reviewers. Inter-rater agreement percentage was based on binomial distribution for calculating the 95% confidence intervals and performing significance tests. Statistical significance was defined as p < .05 for two-sided tests. RESULTS: In testing patient queries, both Otolaryngology physicians found that ChatGPT answered 98.3% of questions correctly, but only 79.8% (range 51.7%-100%) of patients were confident that the AI model was accurate in its responses (corrected agreement = 0.682; p < .001). Among the layperson responses, the corrected coefficient was of moderate agreement (0.571; p < .001). No correlation was noted among age, gender, or education level for the layperson responses. CONCLUSION: ChatGPT is highly accurate in responding to questions posed by the public with regards to Otolaryngology from a physician standpoint. Public reviewers were not fully confident in believing the AI model, with subjective concerns related to less trust in AI answers compared to physician explanation. Larger evaluations with a representative public sample and broader medical questions should immediately be conducted by appropriate organizations, governing bodies, and/or governmental agencies to instill public confidence in AI and ChatGPT as a medical resource. LEVEL OF EVIDENCE: 4.",Laryngoscope investigative otolaryngology,Laryngoscope Investig Otolaryngol,Journal Article,Zalzal Habib G,Division of Otolaryngology-Head and Neck Surgery Children's National Hospital Washington District of Columbia USA.,10.1002/lio2.1193,Q2,2024,evaluative,Medium,2024,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37989540,2024,2024 Mar-Apr 01,Evaluating ChatGPT on Orbital and Oculofacial Disorders: Accuracy and Readability Insights.,"PURPOSE: To assess the accuracy and readability of responses generated by the artificial intelligence model, ChatGPT (version 4.0), to questions related to 10 essential domains of orbital and oculofacial disease. METHODS: A set of 100 questions related to the diagnosis, treatment, and interpretation of orbital and oculofacial diseases was posed to ChatGPT 4.0. Responses were evaluated by a panel of 7 experts based on appropriateness and accuracy, with performance scores measured on a 7-item Likert scale. Inter-rater reliability was determined via the intraclass correlation coefficient. RESULTS: The artificial intelligence model demonstrated accurate and consistent performance across all 10 domains of orbital and oculofacial disease, with an average appropriateness score of 5.3/6.0 (""mostly appropriate"" to ""completely appropriate""). Domains of cavernous sinus fistula, retrobulbar hemorrhage, and blepharospasm had the highest domain scores (average scores of 5.5 to 5.6), while the proptosis domain had the lowest (average score of 5.0/6.0). The intraclass correlation coefficient was 0.64 (95% CI: 0.52 to 0.74), reflecting moderate inter-rater reliability. The responses exhibited a high reading-level complexity, representing the comprehension levels of a college or graduate education. CONCLUSIONS: This study demonstrates the potential of ChatGPT 4.0 to provide accurate information in the field of ophthalmology, specifically orbital and oculofacial disease. However, challenges remain in ensuring accurate and comprehensive responses across all disease domains. Future improvements should focus on refining the model's correctness and eventually expanding the scope to visual data interpretation. Our results highlight the vast potential for artificial intelligence in educational and clinical ophthalmology contexts.",Ophthalmic plastic and reconstructive surgery,Ophthalmic Plast Reconstr Surg,Journal Article,Balas Michael,Temerty Faculty of Medicine.,10.1038/s41433-023-02619-4.,Q2,2024,evaluative,Medium,2024,Cautious Optimism,sonnet,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
37944759,2024,2024 Feb,NASS 2023 Presidential Address: Artificial Intelligence and its effect on the Art of Medicine and the Physician- Patient Relationship.,,The spine journal : official journal of the North American Spine Society,Spine J,Editorial,Finkenberg John,"Alvarado Orthopedic Medical Group, Inc., San Diego, CA, USA. Electronic address: jfinkenberg@aol.com.",10.1016/j.spinee.2023.11.001,Q1,2024,discourse,Medium,2024,Caution,sonnet,Medium,yes,"{""stance"": ""Caution"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
37713022,2024,2024 Feb,Preliminary assessment of automated radiology report generation with generative pre-trained transformers: comparing results to radiologist-generated reports.,"PURPOSE: In this preliminary study, we aimed to evaluate the potential of the generative pre-trained transformer (GPT) series for generating radiology reports from concise imaging findings and compare its performance with radiologist-generated reports. METHODS: This retrospective study involved 28 patients who underwent computed tomography (CT) scans and had a diagnosed disease with typical imaging findings. Radiology reports were generated using GPT-2, GPT-3.5, and GPT-4 based on the patient's age, gender, disease site, and imaging findings. We calculated the top-1, top-5 accuracy, and mean average precision (MAP) of differential diagnoses for GPT-2, GPT-3.5, GPT-4, and radiologists. Two board-certified radiologists evaluated the grammar and readability, image findings, impression, differential diagnosis, and overall quality of all reports using a 4-point scale. RESULTS: Top-1 and Top-5 accuracies for the different diagnoses were highest for radiologists, followed by GPT-4, GPT-3.5, and GPT-2, in that order (Top-1: 1.00, 0.54, 0.54, and 0.21, respectively; Top-5: 1.00, 0.96, 0.89, and 0.54, respectively). There were no significant differences in qualitative scores about grammar and readability, image findings, and overall quality between radiologists and GPT-3.5 or GPT-4 (p > 0.05). However, qualitative scores of the GPT series in impression and differential diagnosis scores were significantly lower than those of radiologists (p < 0.05). CONCLUSIONS: Our preliminary study suggests that GPT-3.5 and GPT-4 have the possibility to generate radiology reports with high readability and reasonable image findings from very short keywords; however, concerns persist regarding the accuracy of impressions and differential diagnoses, thereby requiring verification by radiologists.",Japanese journal of radiology,Jpn J Radiol,Journal Article,Nakaura Takeshi,"Department of Diagnostic Radiology, Graduate School of Medical Sciences, Kumamoto University, 1-1-1 Honjo, Chuo-ku, Kumamoto-shi, Kumamoto, 860-8556, Japan. kff00712@nifty.com.",10.1145/3571730,Q2,2024,evaluative,Medium,2024,Caution,sonnet,High,no,"{""stance"": ""Caution"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
38154727,2024,2024 Jun,The Evolving Role of Artificial Intelligence in Gastrointestinal Histopathology: An Update.,"Significant advances in artificial intelligence (AI) over the past decade potentially may lead to dramatic effects on clinical practice. Digitized histology represents an area ripe for AI implementation. We describe several current needs within the world of gastrointestinal histopathology, and outline, using currently studied models, how AI potentially can address them. We also highlight pitfalls as AI makes inroads into clinical practice.",Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,Clin Gastroenterol Hepatol,Journal Article; Review,Codipilly D Chamil,"Barrett's Esophagus Unit, Division of Gastroenterology and Hepatology, Mayo Clinic Rochester, Rochester, Minnesota.",10.1016/j.cgh.2023.11.044,Q1,2024,discourse,Medium,2024,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
36433212,2022,2022 Nov,A Catalogue of Machine Learning Algorithms for Healthcare Risk Predictions.,"Extracting useful knowledge from proper data analysis is a very challenging task for efficient and timely decision-making. To achieve this, there exist a plethora of machine learning (ML) algorithms, while, especially in healthcare, this complexity increases due to the domain's requirements for analytics-based risk predictions. This manuscript proposes a data analysis mechanism experimented in diverse healthcare scenarios, towards constructing a catalogue of the most efficient ML algorithms to be used depending on the healthcare scenario's requirements and datasets, for efficiently predicting the onset of a disease. To this context, seven (7) different ML algorithms (Naïve Bayes, K-Nearest Neighbors, Decision Tree, Logistic Regression, Random Forest, Neural Networks, Stochastic Gradient Descent) have been executed on top of diverse healthcare scenarios (stroke, COVID-19, diabetes, breast cancer, kidney disease, heart failure). Based on a variety of performance metrics (accuracy, recall, precision, F1-score, specificity, confusion matrix), it has been identified that a sub-set of ML algorithms are more efficient for timely predictions under specific healthcare scenarios, and that is why the envisioned ML catalogue prioritizes the ML algorithms to be used, depending on the scenarios' nature and needed metrics. Further evaluation must be performed considering additional scenarios, involving state-of-the-art techniques (e.g., cloud deployment, federated ML) for improving the mechanism's efficiency.","Sensors (Basel, Switzerland)",Sensors (Basel),Journal Article,Mavrogiorgou Argyro,"Department of Digital Systems, University of Piraeus, 185 34 Piraeus, Greece.",10.1017/S026988890200019X,Q1,2022,discourse,Medium,2022,Neutral,sonnet,High,no,"{""stance"":""Neutral"",""confidence"":""High"",""predictive_claim"":""no""}"
36592431,2023,2023 May,"From research cohorts to the patient - a role for ""omics"" in diagnostics and laboratory medicine?","Human pathologies are complex and might benefit from a more holistic diagnostic approach than currently practiced. Omics is a concept in biological research that aims to comprehensively characterize and quantify large numbers of biological molecules in complex samples, e.g., proteins (proteomics), low molecular weight molecules (metabolomics), glycans (glycomics) or amphiphilic molecules (lipidomics). Over the past decades, respective unbiased discovery approaches have been intensively applied to investigate functional physiological and pathophysiological relationships in various research study cohorts. In the context of clinical diagnostics, omics approaches seem to have potential in two main areas: (i) biomarker discovery i.e. identification of individual marker analytes for subsequent translation into diagnostics (as classical target analyses with conventional laboratory techniques), and (ii) the readout of complex, higher-dimensional signatures of diagnostic samples, in particular by means of spectrometric techniques in combination with biomathematical approaches of pattern recognition and artificial intelligence for diagnostic classification. Resulting diagnostic methods could potentially represent a disruptive paradigm shift away from current one-dimensional (i.e., single analyte marker based) laboratory diagnostics. The underlying hypothesis of omics approaches for diagnostics is that complex, multigenic pathologies can be more accurately diagnosed via the readout of ""omics-type signatures"" than with the current one-dimensional single marker diagnostic procedures. While this is indeed promising, one must realize that the clinical translation of high-dimensional analytical procedures into routine diagnostics brings completely new challenges with respect to long-term reproducibility and analytical standardization, data management, and quality assurance. In this article, the conceivable opportunities and challenges of omics-based laboratory diagnostics are discussed.",Clinical chemistry and laboratory medicine,Clin Chem Lab Med,Journal Article,Vogeser Michael,"Institute of Laboratory Medicine, University Hospital, LMU Munich, Munich, Germany.",10.1373/clinchem.2018.292854,Q1,2023,discourse,Medium,2023,Neutral,sonnet,Medium,yes,"{""stance"":""Neutral"",""confidence"":""Medium"",""predictive_claim"":""yes""}"
38264705,2024,2024 Jan,External validation of a deep learning algorithm for automated echocardiographic strain measurements.,"AIMS: Echocardiographic strain imaging reflects myocardial deformation and is a sensitive measure of cardiac function and wall-motion abnormalities. Deep learning (DL) algorithms could automate the interpretation of echocardiographic strain imaging. METHODS AND RESULTS: We developed and trained an automated DL-based algorithm for left ventricular (LV) strain measurements in an internal dataset. Global longitudinal strain (GLS) was validated externally in (i) a real-world Taiwanese cohort of participants with and without heart failure (HF), (ii) a core-lab measured dataset from the multinational prevalence of microvascular dysfunction-HF and preserved ejection fraction (PROMIS-HFpEF) study, and regional strain in (iii) the HMC-QU-MI study of patients with suspected myocardial infarction. Outcomes included measures of agreement [bias, mean absolute difference (MAD), root-mean-squared-error (RMSE), and Pearson's correlation (R)] and area under the curve (AUC) to identify HF and regional wall-motion abnormalities. The DL workflow successfully analysed 3741 (89%) studies in the Taiwanese cohort, 176 (96%) in PROMIS-HFpEF, and 158 (98%) in HMC-QU-MI. Automated GLS showed good agreement with manual measurements (mean ± SD): -18.9 ± 4.5% vs. -18.2 ± 4.4%, respectively, bias 0.68 ± 2.52%, MAD 2.0 ± 1.67, RMSE = 2.61, R = 0.84 in the Taiwanese cohort; and -15.4 ± 4.1% vs. -15.9 ± 3.6%, respectively, bias -0.65 ± 2.71%, MAD 2.19 ± 1.71, RMSE = 2.78, R = 0.76 in PROMIS-HFpEF. In the Taiwanese cohort, automated GLS accurately identified patients with HF (AUC = 0.89 for total HF and AUC = 0.98 for HF with reduced ejection fraction). In HMC-QU-MI, automated regional strain identified regional wall-motion abnormalities with an average AUC = 0.80. CONCLUSION: DL algorithms can interpret echocardiographic strain images with similar accuracy as conventional measurements. These results highlight the potential of DL algorithms to democratize the use of cardiac strain measurements and reduce time-spent and costs for echo labs globally.",European heart journal. Digital health,Eur Heart J Digit Health,Journal Article,Myhre Peder L,"Division of Medicine, Akershus University Hospital, Lørenskog, Norway.",10.1093/ehjdh/ztad072,Q1,2024,evaluative,Medium,2024,Neutral,sonnet,High,no,"{""stance"":""Neutral"",""confidence"":""High"",""predictive_claim"":""no""}"
38144945,2024,2024 Dec,Artificial intelligence in skeletal metastasis imaging.,"In the field of metastatic skeletal oncology imaging, the role of artificial intelligence (AI) is becoming more prominent. Bone metastasis typically indicates the terminal stage of various malignant neoplasms. Once identified, it necessitates a comprehensive revision of the initial treatment regime, and palliative care is often the only resort. Given the gravity of the condition, the diagnosis of bone metastasis should be approached with utmost caution. AI techniques are being evaluated for their efficacy in a range of tasks within medical imaging, including object detection, disease classification, region segmentation, and prognosis prediction in medical imaging. These methods offer a standardized solution to the frequently subjective challenge of image interpretation.This subjectivity is most desirable in bone metastasis imaging. This review describes the basic imaging modalities of bone metastasis imaging, along with the recent developments and current applications of AI in the respective imaging studies. These concrete examples emphasize the importance of using computer-aided systems in the clinical setting. The review culminates with an examination of the current limitations and prospects of AI in the realm of bone metastasis imaging. To establish the credibility of AI in this domain, further research efforts are required to enhance the reproducibility and attain robust level of empirical support.",Computational and structural biotechnology journal,Comput Struct Biotechnol J,Journal Article; Review,Dong Xiying,"Department of Orthopedic Surgery, State Key Laboratory of Complex Severe and Rare Diseases, Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Sciences, Beijing 100730, China.",10.1038/538020a,Q1,2024,discourse,Medium,2024,Cautious Optimism,sonnet,Medium,yes,"{""stance"":""Cautious Optimism"",""confidence"":""Medium"",""predictive_claim"":""yes""}"
38129952,2024,2024 Mar,Lessons From The Glaucoma Foundation Think Tank 2023: A Patient-Centric Approach to Glaucoma.,"PRÉCIS: The main takeaways also included that BIG DATA repositories and AI are important combinatory tools to foster novel strategies to prevent and stabilize glaucoma and, in the future, recover vision loss from the disease. PURPOSE: To summarize the main topics discussed during the 28th Annual Glaucoma Foundation Think Tank Meeting ""A Patient-Centric Approach to Glaucoma"" held in New York on June 9 and 10, 2023. METHODS: The highlights of the sessions on BIG DATA, genetics, modifiable lifestyle risk factors, female sex hormones, and neuroprotection in the field of primary open angle glaucoma (POAG) were summarized. RESULTS: The researchers discussed the importance of BIG DATA repositories available at national and international levels for POAG research, including the United Kingdom Biobank. Combining genotyped large cohorts worldwide, facilitated by artificial intelligence (AI) and machine-learning approaches, led to the milestone discovery of 312 genome-wide significant disease loci for POAG. While these loci could be combined into a polygenic risk score with clinical utility, Think Tank meeting participants also provided analytical epidemiological evidence that behavioral risk factors modify POAG polygenetic risk, citing specific examples related to caffeine and alcohol use. The impact of female sex hormones on POAG pathophysiology was discussed, as was neuroprotection and the potential use of AI to help mitigate specific challenges faced in clinical trials and speed approval of neuroprotective agents. CONCLUSIONS: The experts agreed on the importance of genetics in defining individual POAG risk and highlighted the additional crucial role of lifestyle, gender, blood pressure, and vascular risk factors. The main takeaways also included that BIG DATA repositories and AI are important combinatory tools to foster novel strategies to prevent and stabilize glaucoma and, in the future, recover vision loss from the disease.",Journal of glaucoma,J Glaucoma,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",Harris Alon,"Department of Ophthalmology, Icahn School of Medicine at Mount Sinai Hospital, New York, NY.",10.1073/pnas.1211074110,Q1,2024,discourse,Medium,2024,Cautious Optimism,sonnet,Medium,yes,"{""stance"":""Cautious Optimism"",""confidence"":""Medium"",""predictive_claim"":""yes""}"
