pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,sjr_quartile,pub_year,stance,stance_model,confidence,predictive_claim,stance_raw
35958052,2022,2022 Jan,Using Healthcare Resources Wisely: A Predictive Support System Regarding the Severity of Patient Falls.,"BACKGROUND: An injurious fall is one of the main indicators of care quality in healthcare facilities. Despite several fall screen tools being widely used to evaluate a patient's fall risk, they are frequently unable to reveal the severity level of patient falls. The purpose of this study is to build a practical system useful to predict the severity level of in-hospital falls. This practice is done in order to better allocate limited healthcare resources and to improve overall patient safety. METHODS: Four hundred and forty-six patients who experienced fall events at a large Taiwanese hospital were referenced. Eight predictors were used to ascertain the severity of patient falls solely based on the above study population. Multinomial logistic regression, Naïve Bayes, random forest, support vector machine, eXtreme gradient boosting, deep learning, and ensemble learning were adopted to establish predictive models. Accuracy, F1 score, precision, and recall were utilized to assess the models' performance. RESULTS: Compared to other learners, random forest exhibited satisfying predictive performance in terms of all metrics (accuracy: 0.844, F1 score: 0.850, precision: 0.839, and recall: 0.875 for the test dataset), and it was adopted as the base learner for a severity-level predictive system which is web-based. Furthermore, age, ability of independent activity, patient sources, use of assistive devices, and fall history within the past 12 months were deemed the top five important risk factors for evaluating fall severity. CONCLUSIONS: The application of machine learning techniques for predicting the severity level of patient falls may result in some benefits to monitor fall severity and to better allocate limited healthcare resources.",Journal of healthcare engineering,J Healthc Eng,Journal Article,Wang Hsi-Hao,"Department of Healthcare Quality, E-Da Hospital, Kaohsiung 82445, Taiwan.",10.1136/bmjopen-2020-041054,Q2,2022,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
35629019,2022,2022 May,Artificial Intelligence-Enhanced Echocardiography for Systolic Function Assessment.,"The accurate assessment of left ventricular systolic function is crucial in the diagnosis and treatment of cardiovascular diseases. Left ventricular ejection fraction (LVEF) and global longitudinal strain (GLS) are the most critical indexes of cardiac systolic function. Echocardiography has become the mainstay of cardiac imaging for measuring LVEF and GLS because it is non-invasive, radiation-free, and allows for bedside operation and real-time processing. However, the human assessment of cardiac function depends on the sonographer's experience, and despite their years of training, inter-observer variability exists. In addition, GLS requires post-processing, which is time consuming and shows variability across different devices. Researchers have turned to artificial intelligence (AI) to address these challenges. The powerful learning capabilities of AI enable feature extraction, which helps to achieve accurate identification of cardiac structures and reliable estimation of the ventricular volume and myocardial motion. Hence, the automatic output of systolic function indexes can be achieved based on echocardiographic images. This review attempts to thoroughly explain the latest progress of AI in assessing left ventricular systolic function and differential diagnosis of heart diseases by echocardiography and discusses the challenges and promises of this new field.",Journal of clinical medicine,J Clin Med,Journal Article; Review,Zhang Zisang,"Department of Ultrasound Medicine, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430022, China.",10.1016/j.echo.2018.12.002,Q1,2022,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33179830,2022,2022 Feb,Primer and Historical Review on Rapid Cardiac CINE MRI.,"Acceleration is an important consideration when imaging moving organs such as the heart. Not only does acceleration enable motion-free scans but, more importantly, it lies at the heart of capturing the dynamics of cardiac motion. For over three decades, various ingenious approaches have been devised and implemented for rapid CINE MRI suitable for dynamic cardiac imaging. Virtually all techniques relied on acquiring less data to reduce acquisition times. Parallel imaging was among the first of these innovations, using multiple receiver coils and mathematical algorithms for reconstruction; acceleration factors of 2 to 3 were readily achieved in clinical practice. However, in the context of imaging dynamic events, further decreases in scan time beyond those provided by parallel imaging were possible by exploiting temporal coherencies. This recognition ushered in the era of k-t accelerated MRI, which utilized predominantly statistical methods for image reconstruction from highly undersampled k-space. Despite the successes of k-t acceleration methods, however, the accuracy of reconstruction was not always guaranteed. To address this gap, MR physicists and mathematicians applied compressed sensing theory to ensure reconstruction accuracy. Reconstruction was, indeed, more robust, but it required optimizing regularization parameters and long reconstruction times. To solve the limitations of all previous methods, researchers have turned to artificial intelligence and deep neural networks for the better part of the past decade, with recent results showing rapid, robust reconstruction. This review provides a comprehensive overview of key developments in the history of CINE MRI acceleration, and offers a unique and intuitive explanation behind the techniques and underlying mathematics.Level of Evidence: 5Technical Efficacy Stage: 1.",Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging,"Journal Article; Research Support, Non-U.S. Gov't; Review",Curtis Aaron D,"The Edward S. Rogers Sr. Department of Electrical and Computer Engineering, University of Toronto, Toronto, Ontario, Canada.",10.1002/jmri.27436,Q1,2022,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
35733917,2022,2022 Jan,Identification of Biomarkers Associated with Diagnosis of Osteoarthritis Patients Based on Bioinformatics and Machine Learning.,"Osteoarthritis (OA) is thought to be the most prevalent chronic joint disease. The incidence of OA is rising because of the ageing population and the epidemic of obesity. This research was designed for the identification of novel diagnostic biomarkers for OA and analyzing the possible association between critical genes and infiltrated immune cells. 10 OA samples from patients with spinal OA and 10 normal samples were collected. GSE55235 and GSE55457 datasets including human OA and normal samples were downloaded from the GEO datasets. Differentially expressed genes (DEGs) were identified between 20 OA and 20 controls. SVM-RFE analysis and LASSO regression model were carried out to screen possible markers. The compositional patterns of the 22 types of immune cell fraction in OA were determined by the use of CIBERSORT. The expression level of the biomarkers in OA was examined by the use of RT-PCR. In this study, an overall 44 DEGs were identified: 18 genes were remarkably upregulated and 26 genes were distinctly downregulated. KEGG pathway analyses revealed that pathways were significantly enriched including IL-17 signal path, rheumatoid arthritis, TNF signal path, and lipid and atherosclerosis. Based on the results of machine learning, we identified APOLD1 and EPYC as critical diagnostic genes in OA, which were further confirmed using ROC assays. Immune cell infiltration analysis revealed that APOLD1 was correlated with mastocytes stimulated, NK cells resting, T cells CD4 memory resting, DCs stimulated, T cells gamma delta, macrophages M0, NK cells stimulated, and mastocytes resting. Moreover, we found that EPYC was correlated with mastocytes stimulated, NK cells resting, T cells CD4 memory resting, DCs stimulated, T cells gamma delta, macrophages M0, NK cells stimulated, and mastocytes resting. Overall, our findings might provide some novel clue for the exploration of novel markers for OA diagnosis. The critical genes and their associations with immune infiltration may offer new insight into understanding OA developments.",Journal of immunology research,J Immunol Res,Journal Article,Liang Yihao,"Department of Orthopedics, The Second Clinical College of Guangzhou University of Chinese Medicine, Guangzhou, China.",10.1186/s13075-020-02410-w,Q1,2022,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36408172,2022,2022 Jan,Leveraging deep learning-based segmentation and contours-driven deformable registration for dose accumulation in abdominal structures.,"PURPOSE: Discrepancies between planned and delivered dose to GI structures during radiation therapy (RT) of liver cancer may hamper the prediction of treatment outcomes. The purpose of this study is to develop a streamlined workflow for dose accumulation in a treatment planning system (TPS) during liver image-guided RT and to assess its accuracy when using different deformable image registration (DIR) algorithms. MATERIALS AND METHODS: Fifty-six patients with primary and metastatic liver cancer treated with external beam radiotherapy guided by daily CT-on-rails (CTOR) were retrospectively analyzed. The liver, stomach and duodenum contours were auto-segmented on all planning CTs and daily CTORs using deep-learning methods. Dose accumulation was performed for each patient using scripting functionalities of the TPS and considering three available DIR algorithms based on: (i) image intensities only; (ii) intensities + contours; (iii) a biomechanical model (contours only). Planned and accumulated doses were converted to equivalent dose in 2Gy (EQD2) and normal tissue complication probabilities (NTCP) were calculated for the stomach and duodenum. Dosimetric indexes for the normal liver, GTV, stomach and duodenum and the NTCP values were exported from the TPS for analysis of the discrepancies between planned and the different accumulated doses. RESULTS: Deep learning segmentation of the stomach and duodenum enabled considerable acceleration of the dose accumulation process for the 56 patients. Differences between accumulated and planned doses were analyzed considering the 3 DIR methods. For the normal liver, stomach and duodenum, the distribution of the 56 differences in maximum doses (D2%) presented a significantly higher variance when a contour-driven DIR method was used instead of the intensity only-based method. Comparing the two contour-driven DIR methods, differences in accumulated minimum doses (D98%) in the GTV were >2Gy for 15 (27%) of the patients. Considering accumulated dose instead of planned dose in standard NTCP models of the duodenum demonstrated a high sensitivity of the duodenum toxicity risk to these dose discrepancies, whereas smaller variations were observed for the stomach. CONCLUSION: This study demonstrated a successful implementation of an automatic workflow for dose accumulation during liver cancer RT in a commercial TPS. The use of contour-driven DIR methods led to larger discrepancies between planned and accumulated doses in comparison to using an intensity only based DIR method, suggesting a better capability of these approaches in estimating complex deformations of the GI organs.",Frontiers in oncology,Front Oncol,Journal Article,McCulloch Molly M,"Department of Imaging Physics, The University of Texas MD Anderson Cancer Center, Houston, TX, United States.",10.1002/mp.15163,Q2,2022,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36263646,2022,2022 Nov,Automatic Diagnosis of Attention Deficit Hyperactivity Disorder with Continuous Wavelet Transform and Convolutional Neural Network.,"OBJECTIVE: The attention deficit hyperactivity disorder has a negative impact on the child's educational life and relationships with the social environment during childhood and adolescence. The connection between temperament traits and The attention deficit hyperactivity disorder has been proven by various studies. As far as we know, there is no machine learning study to diagnose. The attention deficit hyperactivity disorder in a dataset created using temperament characteristics. METHODS: Machine learning-based semi-automatic/fully automatic expert decision support systems are frequently used for the diagnosis of various diseases. In this study, it was aimed to reveal the success of a semi-automatic expert decision support system in the diagnosis of attention deficit hyperactivity disorder by using temperament characteristics. The high classification success achieved is a resource for a potential diagnosis of attention deficit hyperactivity disorder expert decision support system. In this respect, this study includes original qualities and innovations. RESULTS: Many different deep learning methods were used in the research. Deep learning methods are models that achieve high success by using a large number of images in various image processing competitions. The images of the signals in the data set were first obtained by Continuous Wavelet Transform. The highest classification success in our data set was obtained with the Squeeze Net model with 88.33%. CONCLUSION: The model we propose shows that an automatic system based on artificial intelligence can be created, as well as revealing the relationship between temperament characteristics in the diagnosis of attention deficit hyperactivity in the data set we created.",Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,Clin Psychopharmacol Neurosci,Journal Article,Altun Sinan,"Department of Electrical and Electronics Engineering, Kahramanmaras Sutcu Imam University, Kahramanmaras, Turkey.",10.1016/j.ins.2019.05.043,Q2,2022,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
34995293,2022,2022 Jan,A deep hybrid learning pipeline for accurate diagnosis of ovarian cancer based on nuclear morphology.,"Nuclear morphological features are potent determining factors for clinical diagnostic approaches adopted by pathologists to analyze the malignant potential of cancer cells. Considering the structural alteration of the nucleus in cancer cells, various groups have developed machine learning techniques based on variation in nuclear morphometric information like nuclear shape, size, nucleus-cytoplasm ratio and various non-parametric methods like deep learning have also been tested for analyzing immunohistochemistry images of tissue samples for diagnosing various cancers. We aim to correlate the morphometric features of the nucleus along with the distribution of nuclear lamin proteins with classical machine learning to differentiate between normal and ovarian cancer tissues. It has already been elucidated that in ovarian cancer, the extent of alteration in nuclear shape and morphology can modulate genetic changes and thus can be utilized to predict the outcome of low to a high form of serous carcinoma. In this work, we have performed exhaustive imaging of ovarian cancer versus normal tissue and developed a dual pipeline architecture that combines the matrices of morphometric parameters with deep learning techniques of auto feature extraction from pre-processed images. This novel Deep Hybrid Learning model, though derived from classical machine learning algorithms and standard CNN, showed a training and validation AUC score of 0.99 whereas the test AUC score turned out to be 1.00. The improved feature engineering enabled us to differentiate between cancerous and non-cancerous samples successfully from this pilot study.",PloS one,PLoS One,"Journal Article; Research Support, Non-U.S. Gov't",Sengupta Duhita,"Biophysics and Structural Genomics Division, Saha Institute of Nuclear Physics, Kolkata, West Bengal, India.",10.3414/ME13-01-0122,Q1,2022,Neutral,sonnet,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
35562029,2022,2022 Nov,Identifying modifiable and nonmodifiable cost drivers of ambulatory rotator cuff repair: a machine learning analysis.,"INTRODUCTION: Implementing novel tools that identify contributors to the cost of orthopedic procedures can help hospitals maximize efficiency, minimize waste, improve surgical decision-making, and practice value-based care. The purpose of this study was to develop and internally validate a machine learning algorithm to identify key drivers of total charges after ambulatory arthroscopic rotator cuff repair and compare its performance with a state-of-the-art statistical learning model. METHODS: A retrospective review of the New York State Ambulatory Surgery and Services Database was performed to identify patients who underwent elective outpatient rotator cuff repair (RCR) from 2015 to 2016. Initial models were constructed using patient characteristics (age, gender, insurance status, patient income, Elixhauser Comorbidity Index) as well as intraoperative variables (concomitant procedures and services, operative time). These were subsequently entered into 5 separate machine learning algorithms and a generalized additive model using natural splines. Global variable importance and partial dependence curves were constructed to identify the greatest contributors to cost. RESULTS: A total of 33,976 patients undergoing ambulatory RCR were included. Median total charges after ambulatory RCR were $16,017 (interquartile range: $11,009-$22,510). The ensemble model outperformed the generalized additive model and demonstrated the best performance on internal validation (root mean squared error: $7112, 95% confidence interval: 7036-7188; logarithmic root mean squared error: 0.354, 95% confidence interval: 0.336-0.373, R2: 0.53), and identified major drivers of total charges after RCR as increasing operating room time, patient income level, number of anchors used, use of local infiltration anesthesia/peripheral nerve blocks, non-White race/ethnicity, and concurrent distal clavicle excision. The model was integrated into a web-based open-access application capable of providing individual predictions and explanations on a case-by-case basis. CONCLUSION: This study developed an ensemble supervised machine learning algorithm that outperformed a sophisticated statistical learning model in predicting total charges after ambulatory RCR. Important contributors to total charges included operating room time, duration of care, number of anchors used, type of anesthesia, concomitant distal clavicle excision, community characteristics, and patient demographic factors. Generation of a patient-specific payment schedule based on the Agency for Healthcare Research and Quality risk of mortality highlighted the financial risk assumed by physicians in flat episodic reimbursement schedules given variable patient comorbidities and the importance of an accurate prediction algorithm to appropriately reward high-value care at low costs.",Journal of shoulder and elbow surgery,J Shoulder Elbow Surg,Journal Article,Lu Yining,"Department of Orthopedic Surgery, Mayo Clinic, Rochester, MN, USA.",10.1016/j.jse.2022.04.008,Q1,2022,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37149920,2023,2023 Jan,Deep learning for diagnosis of malign pleural effusion on computed tomography images.,"BACKGROUND: The pleura is a serous membrane that surrounds the lungs. The visceral surface secretes fluid into the serous cavity and the parietal surface ensures a regular absorption of this fluid. If this balance is disturbed, fluid accumulation occurs in the pleural space called ""Pleural Effusion"". Today, accurate diagnosis of pleural diseases is becoming more critical, as advances in treatment protocols have contributed positively to prognosis. Our aim is to perform computer-aided numerical analysis of Computed Tomography (CT) images from patients showing pleural effusion images on CT and to examine the prediction of malignant/benign distinction using deep learning by comparing with the cytology results. METHODS: The authors classified 408 CT images from 64 patients whose etiology of pleural effusion was investigated using the deep learning method. 378 of the images were used for the training of the system; 15 malignant and 15 benign CT images, which were not included in the training group, were used as the test. RESULTS: Among the 30 test images evaluated in the system; 14 of 15 malignant patients and 13 of 15 benign patients were estimated with correct diagnosis (PPD: 93.3%, NPD: 86.67%, Sensitivity: 87.5%, Specificity: 92.86%). CONCLUSION: Advances in computer-aided diagnostic analysis of CT images and obtaining a pre-diagnosis of pleural fluid may reduce the need for interventional procedures by guiding physicians about which patients may have malignancies. Thus, it is cost and time-saving in patient management, allowing earlier diagnosis and treatment.","Clinics (Sao Paulo, Brazil)",Clinics (Sao Paulo),Journal Article,Ozcelik Neslihan,"Recep Tayyip Erdogan University, Faculty of Medicine, Training and Research Hospital, Chest Disease, Rize, Turkey. Electronic address: neslihan.ozcelik@erdogan.edu.tr.",10.1016/j.clinsp.2023.100210,Q2,2023,Cautious Optimism,haiku,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
37658220,2023,2023 Sep,Objective analysis of partial three-dimensional rotator cuff muscle volume and fat infiltration across ages and sex from clinical MRI scans.,"Objective analysis of rotator cuff (RC) atrophy and fatty infiltration (FI) from clinical MRI is limited by qualitative measures and variation in scapular coverage. The goals of this study were to: develop/evaluate a method to quantify RC muscle size, atrophy, and FI from clinical MRIs (with typical lateral only coverage) and then quantify the effects of age and sex on RC muscle. To develop the method, 47 full scapula coverage CTs with matching clinical MRIs were used to: correct for variation in scan capture, and ensure impactful information of the RC is measured. Utilizing this methodology and automated artificial intelligence, 170 healthy clinical shoulder MRIs of varying age and sex were segmented, and each RC muscle's size, relative contribution, and FI as a function of scapula location were quantified. A two-way ANOVA was used to examine the effect of age and sex on RC musculature. The analysis revealed significant (p < 0.05): decreases in size of the supraspinatus, teres minor, and subscapularis with age; decreased supraspinatus and increased infraspinatus relative contribution with age; and increased FI in the infraspinatus with age and in females. This study demonstrated that clinically obtained MRIs can be utilized for automatic 3D analysis of the RC. This method is not susceptible to coverage variation or patient size. Application of methodology in a healthy population revealed differences in RC musculature across ages and FI level between sexes. This large database can be used to reference expected muscle characteristics as a function of scapula location and could eventually be used in conjunction with the proposed methodology for analysis in patient populations.",Scientific reports,Sci Rep,"Journal Article; Research Support, N.I.H., Extramural",Riem Lara,"Springbok Analytics, Charlottesville, VA, USA. lara.riem@springbokanalytics.com.",10.3390/diagnostics13101668,Q1,2023,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36328490,2023,2023 Apr,Fast and Accurate Amyloid Brain PET Quantification Without MRI Using Deep Neural Networks.,"This paper proposes a novel method for automatic quantification of amyloid PET using deep learning-based spatial normalization (SN) of PET images, which does not require MRI or CT images of the same patient. The accuracy of the method was evaluated for 3 different amyloid PET radiotracers compared with MRI-parcellation-based PET quantification using FreeSurfer. Methods: A deep neural network model used for the SN of amyloid PET images was trained using 994 multicenter amyloid PET images (367 18F-flutemetamol and 627 18F-florbetaben) and the corresponding 3-dimensional MR images of subjects who had Alzheimer disease or mild cognitive impairment or were cognitively normal. For comparison, PET SN was also conducted using version 12 of the Statistical Parametric Mapping program (SPM-based SN). The accuracy of deep learning-based and SPM-based SN and SUV ratio quantification relative to the FreeSurfer-based estimation in individual brain spaces was evaluated using 148 other amyloid PET images (64 18F-flutemetamol and 84 18F-florbetaben). Additional external validation was performed using an unseen independent external dataset (30 18F-flutemetamol, 67 18F-florbetaben, and 39 18F-florbetapir). Results: Quantification results using the proposed deep learning-based method showed stronger correlations with the FreeSurfer estimates than SPM-based SN using MRI did. For example, the slope, y-intercept, and R 2 values between SPM and FreeSurfer for the global cortex were 0.869, 0.113, and 0.946, respectively. In contrast, the slope, y-intercept, and R 2 values between the proposed deep learning-based method and FreeSurfer were 1.019, -0.016, and 0.986, respectively. The external validation study also demonstrated better performance for the proposed method without MR images than for SPM with MRI. In most brain regions, the proposed method outperformed SPM SN in terms of linear regression parameters and intraclass correlation coefficients. Conclusion: We evaluated a novel deep learning-based SN method that allows quantitative analysis of amyloid brain PET images without structural MRI. The quantification results using the proposed method showed a strong correlation with MRI-parcellation-based quantification using FreeSurfer for all clinical amyloid radiotracers. Therefore, the proposed method will be useful for investigating Alzheimer disease and related brain disorders using amyloid PET scans.","Journal of nuclear medicine : official publication, Society of Nuclear Medicine",J Nucl Med,"Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't",Kang Seung Kwan,"Brightonix Imaging Inc., Seoul, Korea.",10.2967/jnumed.122.264414,Q1,2023,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37897658,2023,2023 Dec,Using machine learning to identify patients at high risk of developing low bone density or osteoporosis after gastrectomy: a 10-year multicenter retrospective analysis.,"INTRODUCTION: Osteoporosis that emerges subsequent to gastrectomy poses a significant threat to the long-term health of patients. The primary objective of this investigation was to formulate a machine learning algorithm capable of identifying substantial preoperative, intraoperative, and postoperative risk factors. This algorithm, in turn, would enable the anticipation of osteoporosis occurrence after gastrectomy. METHODS: This research encompassed a cohort of 1125 patients diagnosed with gastric cancer, including 108 individuals with low bone density or osteoporosis. A total of 40 distinct variables were collected, comprising patient demographics, pertinent medical history, medication records, preoperative examination attributes, surgical procedure specifics, and intraoperative details. Four distinct machine learning algorithms-extreme gradient boosting (XGBoost), random forest (RF), support vector machine (SVM), and k-nearest neighbor algorithm (KNN)-were employed to establish the predictive model. Evaluation of the models involved receiver operating characteristic (ROC) curves, calibration curves, and decision curve analysis (DCA). Shapley additive explanation (SHAP) was employed for visualization and analysis. RESULTS: Among the four prediction models employed, the XGBoost algorithm demonstrated exceptional performance. The ROC analysis yielded excellent predictive accuracy, showcasing area under the curve (AUC) values of 0.957 and 0.896 for training and validation sets, respectively. The calibration curve further confirmed the robust predictive capacity of the XGBoost model. The DCA demonstrated a notably higher benefit rate for patients undergoing intervention based on the XGBoost model. Moreover, the AUC value of 0.73 for the external validation set indicated favorable extrapolation of the XGBoost prediction model. SHAP analysis outcomes unveiled numerous high-risk factors for osteoporosis development after gastrectomy, including a history of chronic obstructive pulmonary disease (COPD), inflammatory bowel disease (IBD), hypoproteinemia, postoperative neutrophil-to-lymphocyte ratio (NLR) exceeding 3, steroid usage history, advanced age, and absence of calcitonin use. CONCLUSION: The osteoporosis prediction model derived through the XGBoost machine learning algorithm in this study displays remarkable predictive precision and carries significant clinical applicability.",Journal of cancer research and clinical oncology,J Cancer Res Clin Oncol,Multicenter Study; Journal Article,Zhu Yanfei,"Wuxi Medical Center of Nanjing Medical University, Wuxi, China.",10.1002/art.38218,Q1,2023,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37946182,2023,2023 Nov,Predicting multiple sclerosis severity with multimodal deep neural networks.,"Multiple Sclerosis (MS) is a chronic disease developed in the human brain and spinal cord, which can cause permanent damage or deterioration of the nerves. The severity of MS disease is monitored by the Expanded Disability Status Scale, composed of several functional sub-scores. Early and accurate classification of MS disease severity is critical for slowing down or preventing disease progression via applying early therapeutic intervention strategies. Recent advances in deep learning and the wide use of Electronic Health Records (EHR) create opportunities to apply data-driven and predictive modeling tools for this goal. Previous studies focusing on using single-modal machine learning and deep learning algorithms were limited in terms of prediction accuracy due to data insufficiency or model simplicity. In this paper, we proposed the idea of using patients' multimodal longitudinal and longitudinal EHR data to predict multiple sclerosis disease severity in the future. Our contribution has two main facets. First, we describe a pioneering effort to integrate structured EHR data, neuroimaging data and clinical notes to build a multi-modal deep learning framework to predict patient's MS severity. The proposed pipeline demonstrates up to 19% increase in terms of the area under the Area Under the Receiver Operating Characteristic curve (AUROC) compared to models using single-modal data. Second, the study also provides valuable insights regarding the amount useful signal embedded in each data modality with respect to MS disease prediction, which may improve data collection processes.",BMC medical informatics and decision making,BMC Med Inform Decis Mak,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, N.I.H., Extramural",Zhang Kai,"Department of Health Data Science and Artificial Intelligence, McWilliams School of Biomedical Informatics, University of Texas Health Sciences Center at Houston, Houston, TX, USA.",10.1002/ana.24954,Q1,2023,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
36920901,2023,2023 Jul,Geometric and dosimetric evaluation of deep learning based auto-segmentation for clinical target volume on breast cancer.,"BACKGROUND: Recently, target auto-segmentation techniques based on deep learning (DL) have shown promising results. However, inaccurate target delineation will directly affect the treatment planning dose distribution and the effect of subsequent radiotherapy work. Evaluation based on geometric metrics alone may not be sufficient for target delineation accuracy assessment. The purpose of this paper is to validate the performance of automatic segmentation with dosimetric metrics and try to construct new evaluation geometric metrics to comprehensively understand the dose-response relationship from the perspective of clinical application. MATERIALS AND METHODS: A DL-based target segmentation model was developed by using 186 manual delineation modified radical mastectomy breast cancer cases. The resulting DL model were used to generate alternative target contours in a new set of 48 patients. The Auto-plan was reoptimized to ensure the same optimized parameters as the reference Manual-plan. To assess the dosimetric impact of target auto-segmentation, not only common geometric metrics but also new spatial parameters with distance and relative volume (  R V ${R}_V$  ) to target were used. Correlations were performed using Spearman's correlation between segmentation evaluation metrics and dosimetric changes. RESULTS: Only strong (|R2 | > 0.6, p < 0.01) or moderate (|R2 | > 0.4, p < 0.01) Pearson correlation was established between the traditional geometric metric and three dosimetric evaluation indices to target (conformity index, homogeneity index, and mean dose). For organs at risk (OARs), inferior or no significant relationship was found between geometric parameters and dosimetric differences. Furthermore, we found that OARs dose distribution was affected by boundary error of target segmentation instead of distance and  R V ${R}_V$  to target. CONCLUSIONS: Current geometric metrics could reflect a certain degree of dose effect of target variation. To find target contour variations that do lead to OARs dosimetry changes, clinically oriented metrics that more accurately reflect how segmentation quality affects dosimetry should be constructed.",Journal of applied clinical medical physics,J Appl Clin Med Phys,Journal Article,Zhong Yang,"Department of Radiation Oncology, Fudan University Shanghai Cancer Center, Shanghai, China.",10.3171/jns.2000.93.supplement,Q2,2023,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
37017291,2023,2023 Oct,Implications of large language models such as ChatGPT for dental medicine.,"OBJECTIVE: This article provides an overview of the implications of ChatGPT and other large language models (LLMs) for dental medicine. OVERVIEW: ChatGPT, a LLM trained on massive amounts of textual data, is adept at fulfilling various language-related tasks. Despite its impressive capabilities, ChatGPT has serious limitations, such as occasionally giving incorrect answers, producing nonsensical content, and presenting misinformation as fact. Dental practitioners, assistants, and hygienists are not likely to be significantly impacted by LLMs. However, LLMs could affect the work of administrative personnel and the provision of dental telemedicine. LLMs offer potential for clinical decision support, text summarization, efficient writing, and multilingual communication. As more people seek health information from LLMs, it is crucial to safeguard against inaccurate, outdated, and biased responses to health-related queries. LLMs pose challenges for patient data confidentiality and cybersecurity that must be tackled. In dental education, LLMs present fewer challenges than in other academic fields. LLMs can enhance academic writing fluency, but acceptable usage boundaries in science need to be established. CONCLUSIONS: While LLMs such as ChatGPT may have various useful applications in dental medicine, they come with risks of malicious use and serious limitations, including the potential for misinformation. CLINICAL SIGNIFICANCE: Along with the potential benefits of using LLMs as an additional tool in dental medicine, it is crucial to carefully consider the limitations and potential risks inherent in such artificial intelligence technologies.",Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],J Esthet Restor Dent,"Journal Article; Review; Research Support, Non-U.S. Gov't",Eggmann Florin,"Department of Preventive and Restorative Sciences, Penn Dental Medicine, Robert Schattner Center, University of Pennsylvania, Philadelphia, Pennsylvania, USA.",10.1111/jerd.13046,Q1,2023,Caution,haiku,High,no,"{""stance"": ""Caution"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
