pmid,specialty,pub_type_simple_5,journal,title,year
38305909,Neurology / Neuroscience,Research Article,Wiener klinische Wochenschrift,Delayed diagnosis of a transient ischemic attack caused by ChatGPT.,2024
38742754,Dentistry,Research Article,Dental traumatology : official publication of International Association for Dental Traumatology,Assessment of artificial intelligence applications in responding to dental trauma.,2024
38969055,Surgery,Research Article,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons,Evaluation of Online AI-Generated Foot and Ankle Surgery Information.,2024
38738492,Dermatology,Research Article,Clinical and experimental dermatology,An evaluation of ChatGPT compared with dermatological surgeons' choices of reconstruction for surgical defects after Mohs surgery.,2024
39768733,Medical Informatics / Digital Health,Research Article,Journal of clinical medicine,"Comparison of the Accuracy, Completeness, Reproducibility, and Consistency of Different AI Chatbots in Providing Nutritional Advice: An Exploratory Study.",2024
38648636,Medical Informatics / Digital Health,Research Article,Journal of medical Internet research,Using ChatGPT-4 to Create Structured Medical Notes From Audio Recordings of Physician-Patient Encounters: Comparative Study.,2024
39186324,Cardiology,Research Article,Journal of medical Internet research,Sex-Based Performance Disparities in Machine Learning Algorithms for Cardiac Disease Prediction: Exploratory Study.,2024
37626010,Medical Informatics / Digital Health,Research Article,British journal of clinical pharmacology,Evaluating the performance of ChatGPT in clinical pharmacy: A comparative study of ChatGPT and clinical pharmacists.,2024
39319150,Dermatology,Research Article,Heliyon,Assessing the ChatGPT aptitude: A competent and effective Dermatology doctor?,2024
39549204,Medical Informatics / Digital Health,Letter,Journal of medical systems,"Large Language Models in Healthcare: An Urgent Call for Ongoing, Rigorous Validation.",2024
38771247,Medical Informatics / Digital Health,Research Article,JMIR medical informatics,The Use of Generative AI for Scientific Literature Searches for Systematic Reviews: ChatGPT and Microsoft Bing AI Performance Evaluation.,2024
39744068,Medical Informatics / Digital Health,Research Article,BJUI compass,Patients and generative AI: Who owns your diagnosis?,2024
38502844,Surgery,Letter,Facial plastic surgery & aesthetic medicine,"Response to Letter to the Editor re: ""Artificial Intelligence Versus Expert Plastic Surgeon: Comparative Study Shows ChatGPT 'Wins' Rhinoplasty Consultations: Should We Be Worried? [1]"" by Durairaj et al.",2024
39543236,Medical Informatics / Digital Health,Research Article,Scientific reports,Testing AI on language comprehension tasks reveals insensitivity to underlying meaning.,2024
39284250,Surgery,Research Article,Journal of surgical education,Artificial Intelligence in Orthopaedics: Performance of ChatGPT on Text and Image Questions on a Complete AAOS Orthopaedic In-Training Examination (OITE).,2024
37491780,Medical Informatics / Digital Health,Research Article,Journal of evaluation in clinical practice,Data-driven decisions about individual patients: The case of medical AI.,2024
39137403,Surgery,Research Article,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,Can Large Language Models (LLMs) Predict the Appropriate Treatment of Acute Hip Fractures in Older Adults? Comparing Appropriate Use Criteria With Recommendations From ChatGPT.,2024
39256622,Medical Informatics / Digital Health,Research Article,Communications medicine,Unmasking and quantifying racial bias of large language models in medical report generation.,2024
37516804,Surgery,Research Article,Prostate cancer and prostatic diseases,Quality of information and appropriateness of ChatGPT outputs for urology patients.,2024
38355517,Medical Education,Research Article,BMC medical education,"Performance of ChatGPT on Chinese national medical licensing examinations: a five-year examination evaluation study for physicians, pharmacists and nurses.",2024
38641744,Pathology / Laboratory Medicine,Research Article,Nature medicine,Demographic bias in misdiagnosis by computational pathology models.,2024
38832125,Internal Medicine / Primary Care,Research Article,Sexual medicine,Evaluation of information accuracy and clarity: ChatGPT responses to the most frequently asked questions about premature ejaculation.,2024
37955873,Medical Informatics / Digital Health,Research Article,JAMA internal medicine,Health Disinformation Use Case Highlighting the Urgent Need for Artificial Intelligence Vigilance: Weapons of Mass Disinformation.,2024
37902018,Internal Medicine / Primary Care,Research Article,"Arthritis & rheumatology (Hoboken, N.J.)",Doctor Versus Artificial Intelligence: Patient and Physician Evaluation of Large Language Model Responses to Rheumatology Patient Questions in a Cross-Sectional Study.,2024
39547661,Pathology / Laboratory Medicine,Research Article,JMIR medical informatics,Exploring the Potential of Claude 3 Opus in Renal Pathological Diagnosis: Performance Evaluation.,2024
37831553,Ophthalmology,Research Article,Ocular immunology and inflammation,Chatbots Vs. Human Experts: Evaluating Diagnostic Performance of Chatbots in Uveitis and the Perspectives on AI Adoption in Ophthalmology.,2024
38195060,Dentistry,Research Article,The Angle orthodontist,Content analysis of AI-generated (ChatGPT) responses concerning orthodontic clear aligners.,2024
39437512,Mental Health / Psychiatry,Research Article,International journal of medical informatics,Large language models can support generation of standardized discharge summaries - A retrospective study utilizing ChatGPT-4 and electronic health records.,2024
38354499,Internal Medicine / Primary Care,Review,Computers in biology and medicine,Artificial intelligence image-based prediction models in IBD exhibit high risk of bias: A systematic review.,2024
37991333,Pediatrics,Research Article,AJR. American journal of roentgenology,Performance Analysis in Children of Traditional and Deep Learning CT Lung Nodule Computer-Aided Detection Systems Trained on Adults.,2024
38268099,Surgery,Research Article,International forum of allergy & rhinology,ChatGPT-4 performance in rhinology: A clinical case series.,2024
38804035,Pathology / Laboratory Medicine,Research Article,Clinical chemistry and laboratory medicine,"Comparison of ChatGPT, Gemini, and Le Chat with physician interpretations of medical laboratory questions from an online health forum.",2024
39083799,Medical Informatics / Digital Health,Research Article,JMIR medical informatics,Reference Hallucination Score for Medical Artificial Intelligence Chatbots: Development and Usability Study.,2024
39230402,Radiology / Diagnostic Imaging,Research Article,AJR. American journal of roentgenology,Prospective Evaluation of Artificial Intelligence Triage of Intracranial Hemorrhage on Noncontrast Head CT Examinations.,2024
39142308,Surgery,Research Article,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Artificial Intelligence for Diagnosis in Otologic Patients: Is It Ready to Be Your Doctor?,2024
38967407,Surgery,Research Article,ANZ journal of surgery,Examining the role of ChatGPT in the management of distal radius fractures: insights into its accuracy and consistency.,2024
38470459,Medical Informatics / Digital Health,Research Article,JMIR medical education,Capability of GPT-4V(ision) in the Japanese National Medical Licensing Examination: Evaluation Study.,2024
39136951,Medical Informatics / Digital Health,Commentary,JAMA network open,"Accuracy, Consistency, and Hallucination of Large Language Models When Analyzing Unstructured Clinical Notes in Electronic Medical Records.",2024
37966807,Medical Informatics / Digital Health,Research Article,JAMA surgery,Demographic Representation in 3 Leading Artificial Intelligence Text-to-Image Generators.,2024
39576636,Radiology / Diagnostic Imaging,Research Article,JAMA network open,Artificial Intelligence and Radiologist Burnout.,2024
39129151,Oncology,Research Article,Pediatric blood & cancer,Being diagnosed with a rhabdomyosarcoma in the era of artificial intelligence: Whom can we trust?,2024
39657649,Medical Informatics / Digital Health,Research Article,Hamostaseologie,Artificial Intelligence in Medicine: Are We Ready?,2024
39133401,Pediatrics,Research Article,Pediatric radiology,Capability of multimodal large language models to interpret pediatric radiological images.,2024
38362238,Ophthalmology,Research Article,Digital health,Patients with floaters: Answers from virtual assistants and large language models.,2024
38280946,Radiology / Diagnostic Imaging,Review,NPJ precision oncology,Diagnostic performance of deep learning in ultrasound diagnosis of breast cancer: a systematic review.,2024
38785493,Oncology,Research Article,"Current oncology (Toronto, Ont.)",The Consistency and Quality of ChatGPT Responses Compared to Clinical Guidelines for Ovarian Cancer: A Delphi Approach.,2024
38451324,Medical Informatics / Digital Health,Research Article,European radiology,"Of editorial processes, AI models, and medical literature: the Magnetic Resonance Audiometry experiment.",2024
39035656,Surgery,Research Article,JSES international,"Response to letter to the editor regarding ""Breaking barriers: can ChatGPT compete with a shoulder and elbow specialist in diagnosis and management?"".",2024
39743925,Ophthalmology,Research Article,Turkish journal of ophthalmology,"Readability and Appropriateness of Responses Generated by ChatGPT 3.5, ChatGPT 4.0, Gemini, and Microsoft Copilot for FAQs in Refractive Surgery.",2024
38508682,Medical Informatics / Digital Health,Research Article,BMJ (Clinical research ed.),"Current safeguards, risk mitigation, and transparency measures of large language models against the generation of health disinformation: repeated cross sectional analysis.",2024
39096130,Medical Informatics / Digital Health,Research Article,British journal of clinical pharmacology,Appropriateness of ChatGPT as a resource for medication-related questions.,2024
37493324,Radiology / Diagnostic Imaging,Research Article,AJR. American journal of roentgenology,"Screening in Patients With Dense Breasts: Comparison of Mammography, Artificial Intelligence, and Supplementary Ultrasound.",2024
38353801,Medical Informatics / Digital Health,Research Article,"Medicine, health care, and philosophy","Epistemic (in)justice, social identity and the Black Box problem in patient care.",2024
38310152,Oncology,Research Article,Scientific reports,Evaluating AI in medicine: a comparative analysis of expert and ChatGPT responses to colorectal cancer questions.,2024
38319619,Oncology,Research Article,Journal of clinical gastroenterology,Colorectal Cancer Prevention: Is Chat Generative Pretrained Transformer (Chat GPT) ready to Assist Physicians in Determining Appropriate Screening and Surveillance Recommendations?,2024
38447503,Emergency Medicine / Critical Care,Research Article,The American journal of emergency medicine,AI in the ED: Assessing the efficacy of GPT models vs. physicians in medical score calculation.,2024
38967219,Pediatrics,Letter,Pediatric blood & cancer,Artificial intelligence chatbots: Are they a reliable source for patients and families in pediatric neuro-oncology?,2024
37538021,Nursing,Research Article,Journal of psychiatric and mental health nursing,Could artificial intelligence write mental health nursing care plans?,2024
38545679,Surgery,Research Article,The Laryngoscope,Does ChatGPT Answer Otolaryngology Questions Accurately?,2024
38244023,Dermatology,Commentary,The Journal of investigative dermatology,Disentangling Hype from Reality for Artificial Intelligence-Based Skin Cancer Diagnosis: Comment on a Narrative Review.,2024
38717102,Surgery,Research Article,Facial plastic surgery & aesthetic medicine,"Invited Commentary: Durairaj et al.'s ""Artificial Intelligence vs. Expert Plastic Surgeon: Comparative Study Shows ChatGPT 'Wins' Rhinoplasty Consultations-Should We Be Worried?"".",2024
38701406,Nursing,Research Article,Journal of nursing care quality,Evaluating the Quality of Postpartum Hemorrhage Nursing Care Plans Generated by Artificial Intelligence Models.,2024
39466443,Medical Informatics / Digital Health,Research Article,World journal of urology,Artificial intelligence versus human touch: can artificial intelligence accurately generate a literature review on laser technologies?,2024
38217726,Surgery,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,ChatGPT vs UpToDate: comparative study of usefulness and reliability of Chatbot in common clinical presentations of otorhinolaryngology-head and neck surgery.,2024
38806794,Radiology / Diagnostic Imaging,Research Article,Clinical neuroradiology,"Comparing the Diagnostic Performance of GPT-4-based ChatGPT, GPT-4V-based ChatGPT, and Radiologists in Challenging Neuroradiology Cases.",2024
37994939,Radiology / Diagnostic Imaging,Research Article,Neuroradiology,Accuracy of ChatGPT generated diagnosis from patient's medical history and imaging findings in neuroradiology cases.,2024
38459362,Dentistry,Research Article,Clinical oral investigations,Performance of a commercially available Generative Pre-trained Transformer (GPT) in describing radiolucent lesions in panoramic radiographs and establishing differential diagnoses.,2024
39043988,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Hidden flaws behind expert-level accuracy of multimodal GPT-4 vision in medicine.,2024
38237878,Surgery,Research Article,The Journal of arthroplasty,Chat Generative Pretrained Transformer (ChatGPT) and Bard: Artificial Intelligence Does not yet Provide Clinically Supported Answers for Hip and Knee Osteoarthritis.,2024
38592758,Medical Informatics / Digital Health,Research Article,JMIR medical informatics,Evaluating ChatGPT-4's Diagnostic Accuracy: Impact of Visual Data Integration.,2024
38751951,Surgery,Research Article,BJUI compass,Urology consultants versus large language models: Potentials and hazards for medical advice in urology.,2024
39426042,Mental Health / Psychiatry,Research Article,International journal of law and psychiatry,Generative artificial intelligence (GenAI) and decision-making: Legal & ethical hurdles for implementation in mental health.,2024
38867035,Radiology / Diagnostic Imaging,Research Article,Japanese journal of radiology,Evaluating ChatGPT-4V in chest CT diagnostics: a critical image interpretation assessment.,2024
38514657,Ophthalmology,Research Article,Scientific reports,Diagnostic decisions of specialist optometrists exposed to ambiguous deep-learning outputs.,2024
39428414,Dentistry,Research Article,Progress in orthodontics,Comparison of AI-assisted cephalometric analysis and orthodontist-performed digital tracing analysis.,2024
38696177,Ophthalmology,Research Article,JAMA ophthalmology,Vision-Language Models for Feature Detection of Macular Diseases on Optical Coherence Tomography.,2024
39529938,Internal Medicine / Primary Care,Research Article,Open forum infectious diseases,Let's Have a Chat: How Well Does an Artificial Intelligence Chatbot Answer Clinical Infectious Diseases Pharmacotherapy Questions?,2024
39408030,Surgery,Research Article,Journal of clinical medicine,Discrepancies in ChatGPT's Hip Fracture Recommendations in Older Adults for 2021 AAOS Evidence-Based Guidelines.,2024
38032062,Pathology / Laboratory Medicine,Research Article,Histopathology,Bridging bytes and biopsies: A comparative analysis of ChatGPT and histopathologists in pathology diagnosis and collaborative potential.,2024
38687216,Radiology / Diagnostic Imaging,Research Article,Radiology,"BI-RADS Category Assignments by GPT-3.5, GPT-4, and Google Bard: A Multilanguage Study.",2024
38916508,Radiology / Diagnostic Imaging,Research Article,Radiology,ChatGPT versus Radiology Institutional Websites: Comparative Analysis of Radiation Protection Information Provided to Patients.,2024
39446672,Dentistry,Research Article,European journal of dental education : official journal of the Association for Dental Education in Europe,Performance of ChatGPT and Dental Students on Concepts of Periodontal Surgery.,2025
40055532,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Red teaming ChatGPT in medicine to yield real-world insights on model behavior.,2025
39299831,Radiology / Diagnostic Imaging,Research Article,Diagnostic and interventional imaging,"Comparison between artificial intelligence solution and radiologist for the detection of pelvic, hip and extremity fractures on radiographs in adult using CT as standard of reference.",2025
40002618,Dentistry,Research Article,"Diagnostics (Basel, Switzerland)",An Assessment of Deep Learning's Impact on General Dentists' Ability to Detect Alveolar Bone Loss in 2D Intraoral Radiographs.,2025
40194867,Ophthalmology,Research Article,BMJ open ophthalmology,Can off-the-shelf visual large language models detect and diagnose ocular diseases from retinal photographs?,2025
39622288,Surgery,Research Article,World neurosurgery,Comparative Analysis of Large Language Models and Spine Surgeons in Surgical Decision-Making and Radiological Assessment for Spine Pathologies.,2025
39952325,Surgery,Research Article,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,American Academy of Orthopaedic Surgeons OrthoInfo provides more readable information regarding rotator cuff injury than ChatGPT.,2025
38366690,Nursing,Research Article,Journal of advanced nursing,A comparative vignette study: Evaluating the potential role of a generative AI model in enhancing clinical decision-making in nursing.,2025
40108444,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Cross sectional pilot study on clinical review generation using large language models.,2025
40549899,Medical Informatics / Digital Health,Research Article,Annals of plastic surgery,Large Language Model Misinformation: Could it Put Patients at Risk?,2025
40553002,Oncology,Research Article,Radiology,Invasive Breast Cancers Missed by AI Screening of Mammograms.,2025
38295336,Surgery,Letter,The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,CLP-Related Information for Patients Provided by ChatGPT: Comment.,2025
40869701,Surgery,Review,Journal of clinical medicine,Systematic Review on Large Language Models in Orthopaedic Surgery.,2025
39547871,Emergency Medicine / Critical Care,Research Article,British journal of anaesthesia,Generation of preoperative anaesthetic plans by ChatGPT-4.0: a mixed-method study.,2025
39321356,Surgery,Research Article,The Journal of the American Academy of Orthopaedic Surgeons,Artificial Intelligence Promotes the Dunning Kruger Effect: Evaluating ChatGPT Answers to Frequently Asked Questions About Adolescent Idiopathic Scoliosis.,2025
41063142,Dentistry,Research Article,BMC oral health,Diagnostic accuracy of generative large language artificial intelligence models for the assessment of dental crowding.,2025
38199797,Pathology / Laboratory Medicine,Research Article,Journal of clinical pathology,Accuracy of GPT-4 in histopathological image detection and classification of colorectal adenomas.,2025
41459577,Pathology / Laboratory Medicine,Research Article,Frontiers in artificial intelligence,"ChatGPT and reference intervals: a comparative analysis of repeatability in GPT-3.5 Turbo, GPT-4, and GPT-4o.",2025
40269240,Multidisciplinary / Other,Research Article,Scientific reports,"Comparison of triage performance among DRP tool, ChatGPT, and outpatient rehabilitation doctors.",2025
39860325,Neurology / Neuroscience,Research Article,Journal of clinical medicine,Can ChatGPT 4.0 Diagnose Epilepsy? A Study on Artificial Intelligence's Diagnostic Capabilities.,2025
39890777,Medical Informatics / Digital Health,Research Article,Nature communications,Prompt injection attacks on vision language models in oncology.,2025
39860582,Internal Medicine / Primary Care,Research Article,Journal of clinical medicine,Evaluating ChatGPT-4 for the Interpretation of Images from Several Diagnostic Techniques in Gastroenterology.,2025
40373001,Medical Informatics / Digital Health,Research Article,PloS one,A comparative analysis of large language models versus traditional information extraction methods for real-world evidence of patient symptomatology in acute and post-acute sequelae of SARS-CoV-2.,2025
40210509,Dentistry,Research Article,The Journal of prosthetic dentistry,Can ChatGPT be trusted as a resource for a scholarly article on treatment planning implant-supported prostheses?,2025
39450689,Dentistry,Letter,Oral diseases,Challenging ChatGPT-4V for the Diagnosis of Oral Diseases and Conditions.,2025
40658983,Medical Informatics / Digital Health,Research Article,Journal of medical Internet research,Performance of Large Language Models in Numerical Versus Semantic Medical Knowledge: Cross-Sectional Benchmarking Study on Evidence-Based Questions and Answers.,2025
39814217,Medical Informatics / Digital Health,Review,Journal of clinical epidemiology,Larger sample sizes are needed when developing a clinical prediction model using machine learning in oncology: methodological systematic review.,2025
39985409,Surgery,Research Article,Foot & ankle specialist,ChatGPT Achieves Only Fair Agreement with ACFAS Expert Panelist Clinical Consensus Statements.,2025
39157995,Medical Education,Research Article,The Laryngoscope,Large Language Models in Otolaryngology Residency Admissions: A Random Sampling Analysis.,2025
39299957,Pediatrics,Research Article,Journal of imaging informatics in medicine,Children Are Not Small Adults: Addressing Limited Generalizability of an Adult Deep Learning CT Organ Segmentation Model to the Pediatric Population.,2025
41447465,Radiology / Diagnostic Imaging,Research Article,JMIR medical informatics,"Performance of ChatGPT-4o, Claude 3 Opus, and DeepSeek-R1 in BI-RADS Category 4 Classification and Malignancy Prediction From Mammography Reports: Retrospective Diagnostic Study.",2025
40668069,Dermatology,Research Article,Journal of the European Academy of Dermatology and Venereology : JEADV,AI-generated dermatologic images show deficient skin tone diversity and poor diagnostic accuracy: An experimental study.,2025
41330046,Neurology / Neuroscience,Research Article,Journal of neural engineering,Evaluating the clinical readiness of artificial intelligence in EEG-based epilepsy diagnosis.,2025
39448515,Radiology / Diagnostic Imaging,Research Article,Psychonomic bulletin & review,Increasing transparency of computer-aided detection impairs decision-making in visual search.,2025
40218041,Medical Informatics / Digital Health,Research Article,"Healthcare (Basel, Switzerland)",Generative Artificial Intelligence Models in Clinical Infectious Disease Consultations: A Cross-Sectional Analysis Among Specialists and Resident Trainees.,2025
39813897,Medical Education,Review,Morphologie : bulletin de l'Association des anatomistes,Can ChatGPT play a significant role in anatomy education? A scoping review.,2025
39423850,Medical Informatics / Digital Health,Research Article,Journal of the American Medical Informatics Association : JAMIA,Extracting social support and social isolation information from clinical psychiatry notes: comparing a rule-based natural language processing system and a large language model.,2025
39971004,Cardiology,Research Article,The Canadian journal of cardiology,Beyond Text: The Impact of Clinical Context on GPT-4's 12-Lead Electrocardiogram Interpretation Accuracy.,2025
41145883,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,"Benchmarking large language models for personalized, biomarker-based health intervention recommendations.",2025
40021654,Pathology / Laboratory Medicine,Research Article,NPJ genomic medicine,Discordance between a deep learning model and clinical-grade variant pathogenicity classification in a rare disease cohort.,2025
41228088,Mental Health / Psychiatry,Research Article,"Healthcare (Basel, Switzerland)","Public Health Risk Management, Policy, and Ethical Imperatives in the Use of AI Tools for Mental Health Therapy.",2025
40472563,Radiology / Diagnostic Imaging,Research Article,International journal of medical informatics,Artificial intelligence vs human expertise: A comparison of plantar fascia thickness measurements through MRI imaging.,2025
40490558,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Evaluating evidence-based health information from generative AI using a cross-sectional study with laypeople seeking screening information.,2025
41675260,Radiology / Diagnostic Imaging,Research Article,Frontiers in digital health,"A comparative accuracy study of multimodal LLMs, VLM and agent-based framework for pulmonary nodule detection on chest radiographs.",2025
40074209,Internal Medicine / Primary Care,Research Article,Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation,"Still a Long Way to Go, the Potential of ChatGPT in Personalized Dietary Prescription, From a Perspective of a Clinical Dietitian.",2025
40063849,Medical Informatics / Digital Health,Research Article,JMIR formative research,Medical Misinformation in AI-Assisted Self-Diagnosis: Development of a Method (EvalPrompt) for Analyzing Large Language Models.,2025
39637580,Cardiology,Review,European journal of radiology,Addressing hidden risks: Systematic review of artificial intelligence biases across racial and ethnic groups in cardiovascular diseases.,2025
41717521,Surgery,Research Article,Turkish journal of physical medicine and rehabilitation,Assessing the accuracy and reproducibility of artificial intelligence-generated medical responses by ChatGPT on Scheuermann's kyphosis.,2025
41250649,Medical Informatics / Digital Health,Research Article,Journal of Korean medical science,"Analysis of Retracted Publications on Artificial Intelligence: Trends, Ethical Concerns, and Scientific Integrity.",2025
39536965,Surgery,Research Article,The Journal of thoracic and cardiovascular surgery,How soon will surgeons become mere technicians? Chatbot performance in managing clinical scenarios.,2025
39612523,Neurology / Neuroscience,Research Article,Clinical neurology and neurosurgery,Artificial intelligence versus clinical judgement: how accurately do generative models reflect CNS guidelines for chiari malformation?,2025
40195448,Medical Informatics / Digital Health,Research Article,Nature medicine,Sociodemographic biases in medical decision making by large language models.,2025
40319392,Medical Education,Research Article,Medical teacher,The answer may vary: large language model response patterns challenge their use in test item analysis.,2025
40536141,Oncology,Research Article,Journal of surgical oncology,AI at the Forefront: Navigating Oncologic Care for Six Gastrointestinal Cancers According to the NCCN Guidelines Utilizing Gemini-1.0 Ultra and ChatGPT-4.,2025
40271108,Dentistry,Research Article,Computational and structural biotechnology journal,Decoding wisdom: Evaluating ChatGPT's accuracy and reproducibility in analyzing orthopantomographic images for third molar assessment.,2025
40043742,Pediatrics,Research Article,European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift fur Kinderchirurgie,"Solving Complex Pediatric Surgical Case Studies: A Comparative Analysis of Copilot, ChatGPT-4, and Experienced Pediatric Surgeons' Performance.",2025
39613295,Medical Informatics / Digital Health,Research Article,Journal of the American Pharmacists Association : JAPhA,Risk stratification of potential drug interactions involving common over-the-counter medications and herbal supplements by a large language model.,2025
40800006,Dentistry,Research Article,Frontiers in dental medicine,Evaluating the accuracy of generative artificial intelligence models in dental age estimation based on the Demirjian's method.,2025
39863417,Medical Education,Research Article,Journal of medical ethics,Assessing the performance of ChatGPT in medical ethical decision-making: a comparative study with USMLE-based scenarios.,2025
40849634,Surgery,Research Article,BMC medical education,Large language models underperform in European general surgery board examinations: a comparative study with experts and surgical residents.,2025
40730644,Neurology / Neuroscience,Research Article,NPJ digital medicine,Evaluation of performance of generative large language models for stroke care.,2025
40961357,Cardiology,Research Article,JMIR AI,Comparative Diagnostic Performance of a Multimodal Large Language Model Versus a Dedicated Electrocardiogram AI in Detecting Myocardial Infarction From Electrocardiogram Images: Comparative Study.,2025
40605830,Medical Informatics / Digital Health,Research Article,JMIR AI,Generative AI in Medicine: Pioneering Progress or Perpetuating Historical Inaccuracies? Cross-Sectional Study Evaluating Implicit Bias.,2025
40404499,FAILED,Research Article,British journal of anaesthesia,The effect of selection bias on the performance of a deep learning-based intraoperative hypotension prediction model using real-world samples from a publicly available database.,2025
40844612,Neurology / Neuroscience,Research Article,Journal of neurology,AI-Based EMG Reporting: A Randomized Controlled Trial.,2025
40230830,Surgery,Research Article,North American Spine Society journal,A comparative analysis between ChatGPT versus NASS clinical guidelines for adult isthmic spondylolisthesis.,2025
40725794,Medical Informatics / Digital Health,Research Article,Journal of clinical medicine,Dr. LLM Will See You Now: The Ability of ChatGPT to Provide Geographically Tailored Colorectal Cancer Screening and Surveillance Recommendations.,2025
40665345,Medical Informatics / Digital Health,Research Article,International journal for equity in health,Potential to perpetuate social biases in health care by Chinese large language models: a model evaluation study.,2025
40367652,Surgery,Research Article,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",Evaluating Large Language Model's accuracy in current procedural terminology coding given operative note templates across various plastic surgery sub-specialties.,2025
40047903,Internal Medicine / Primary Care,Research Article,World journal of urology,Bing chat for kidney stone management questions based on the AUA guidelines: a comparison of chatbot conversation style modes.,2025
41436330,Dentistry,Research Article,The Journal of prosthetic dentistry,"Comparative agreement among traditional, digital, and experimental AI-based shade selection methods in dentistry: A clinical study.",2025
40864898,Mental Health / Psychiatry,Research Article,Journal of medical Internet research,Misleading Results in Posttraumatic Stress Disorder Predictive Models Using Electronic Health Record Data: Algorithm Validation Study.,2025
41160724,Medical Informatics / Digital Health,Research Article,JMIR AI,Evaluating the Reliability and Accuracy of an AI-Powered Search Engine in Providing Responses on Dietary Supplements: Quantitative and Qualitative Evaluation.,2025
41091603,Medical Informatics / Digital Health,Research Article,IEEE journal of biomedical and health informatics,Evaluating Hallucination and Diagnostic Reliability of LLMs on Medical Image-Based Multiple Choice Tasks.,2025
39532254,Medical Informatics / Digital Health,Review,Journal of clinical epidemiology,Sociodemographic bias in clinical machine learning models: a scoping review of algorithmic bias instances and mechanisms.,2025
40639839,Emergency Medicine / Critical Care,Research Article,BMJ health & care informatics,Bias in vital signs? Machine learning models can learn patients' race or ethnicity from the values of vital signs alone.,2025
39837727,Oncology,Research Article,Clinical oncology (Royal College of Radiologists (Great Britain)),Under-representation for Female Pelvis Cancers in Commercial Auto-segmentation Solutions and Open-source Imaging Datasets.,2025
39532572,Dentistry,Review,International dental journal,Large Language Models in Dental Licensing Examinations: Systematic Review and Meta-Analysis.,2025
40119714,Emergency Medicine / Critical Care,Research Article,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,Analysis of responses from artificial intelligence programs to medication-related questions derived from critical care guidelines.,2025
39965220,Surgery,Research Article,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Quality of Information Provided by Artificial Intelligence Chatbots Surrounding the Management of Vestibular Schwannomas: A Comparative Analysis Between ChatGPT-4 and Claude 2.,2025
40273637,Emergency Medicine / Critical Care,Research Article,The American journal of emergency medicine,Performance of the artificial intelligence-based Swiss medical assessment system versus Manchester triage system in the emergency department: A retrospective analysis.,2025
39930399,Dentistry,Research Article,BMC medical education,Performance of artificial intelligence on Turkish dental specialization exam: can ChatGPT-4.0 and gemini advanced achieve comparable results to humans?,2025
40941678,Radiology / Diagnostic Imaging,Research Article,"Diagnostics (Basel, Switzerland)",Comparative Analysis of Diagnostic Performance Between Elastography and AI-Based S-Detect for Thyroid Nodule Detection.,2025
40056436,Medical Informatics / Digital Health,Research Article,Journal of the American Medical Informatics Association : JAMIA,Large language models are less effective at clinical prediction tasks than locally trained machine learning models.,2025
40353026,Medical Education,Research Article,Medical science educator,Exploring Medical Student Trust in Generative Artificial Intelligence (ChatGPT) Versus Peers in Team-Based Learning.,2025
40916988,Medical Informatics / Digital Health,Research Article,Journal of evaluation in clinical practice,Artificial General Intelligence and Its Threat to Public Health.,2025
40550134,Medical Informatics / Digital Health,Review,Annals of internal medicine,Assessing the System-Instruction Vulnerabilities of Large Language Models to Malicious Conversion Into Health Disinformation Chatbots.,2025
40958374,Nursing,Research Article,Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing,ChatGPT-4 in Nursing Research: A Methodological Evaluation of Bias Risk in Randomized Controlled Trials.,2025
39433263,Surgery,Research Article,The Journal of arthroplasty,Racial and Ethnic Disparities in Predictive Accuracy of Machine Learning Algorithms Developed Using a National Database for 30-Day Complications Following Total Joint Arthroplasty.,2025
39773383,Internal Medicine / Primary Care,Research Article,BMC infectious diseases,Recommended antibiotic treatment agreement between infectious diseases specialists and ChatGPT®.,2025
40670886,Medical Informatics / Digital Health,Research Article,Journal of medical systems,Why Clinical Trials Will Fail to Ensure Safe AI.,2025
