pmid,pub_year,journal,pub_type_simple_5,specialty,title,abstract
35691440,2022,International journal of cardiology,Research Article,Cardiology,Artificial intelligence versus physicians on interpretation of printed ECG images: Diagnostic performance of ST-elevation myocardial infarction on electrocardiography.,"BACKGROUND: Smartphone-based ECG analyzer using camera input can be useful as everyone have it. The purpose of this study was to evaluate whether such a system can outperform clinicians in detecting ST-elevation myocardial infarction (STEMI) regardless of image acquisition conditions. METHODS: We retrospectively enrolled suspected STEMI patients in an emergency department from January to October 2021. A multifaceted cardiovascular assessment system (Quantitative ECG, QCG™) using ECG images to produce a quantitative score (QCG score, ranging from 0 to 100) was compared to human experts of 7 emergency physicians and 3 cardiologists. Voting scores (number of participants answering ""yes"" for STEMI) were calculated for comparison. The system's robustness was evaluated using an equivalence test where we prove its performance metric (area under the curve of the receiver operating characteristic curve, AUC-ROC) changes within a predetermined equivalence range (-0.01 to 0.01) in 6 different environments (A combination of three different smartphones and two image sources including computer screen and paper). RESULTS: 187 patients (96 STEMI, 51.3%) were analyzed. AUC-ROC of QCG score was 0.919 (0.880-0.957). AUC-ROCs of voting scores, 0.856 (0.799-0.913) for all clinicians, 0.843 (0.786-0.900) for emergency physicians, 0.817 (0.756-0.877) for cardiologists, and 0.848 (0.790-0.905) for high-performance group were significantly lower compared to that of QCG score. The change in AUC-ROC by image acquisition condition was negligible with a narrow confidence interval within -0.01 to 0.01 confirming the equivalence. CONCLUSIONS: Image-based AI system can outperform clinicians in STEMI diagnosis and its performance was robust to change in image acquisition conditions."
36142600,2022,International journal of molecular sciences,Review,Medical Informatics / Digital Health,Molecular Biosimilarity-An AI-Driven Paradigm Shift.,"Scientific, technical, and bioinformatics advances have made it possible to establish analytics-based molecular biosimilarity for the approval of biosimilars. If the molecular structure is identical and other product- and process-related attributes are comparable within the testing limits, then a biosimilar candidate will have the same safety and efficacy as its reference product. Classical testing in animals and patients is much less sensitive in terms of identifying clinically meaningful differences, as is reported in the literature. The recent artificial intelligence (AI)-based protein structure prediction model, AlphaFold-2, has confirmed that the primary structure of proteins always determines their 3D structure; thus, we can deduce that a biosimilar with an identical primary structure will have the same efficacy and safety. Further confirmation of the thesis has been established using technologies that are now much more sensitive. For example, mass spectrometry (MS) is thousands of times more sensitive and accurate when compared to any form of biological testing. While regulatory agencies have begun waiving animal testing and, in some cases, clinical efficacy testing, the removal of clinical pharmacology profiling brings with it a dramatic paradigm shift, reducing development costs without compromising safety or efficacy. A list of 160+ products that are ready to enter as biosimilars has been shared. Major actions from regulatory agencies and developers are required to facilitate this paradigm shift."
36028138,2022,"International journal of surgery (London, England)",Letter,Internal Medicine / Primary Care,Deep learning research should be encouraged for diagnosis and treatment of antibiotic resistance of microbial infections in treatment associated emergencies in hospitals.,
35302963,2022,JBJS reviews,Review,Surgery,Understanding Artificial Intelligence and Predictive Analytics: A Clinically Focused Review of Machine Learning Techniques.,"»: Machine learning and artificial intelligence have seen tremendous growth in recent years and have been applied in numerous studies in the field of orthopaedics. »: Machine learning will soon become critical in the day-to-day operations of orthopaedic practice; therefore, it is imperative that providers become accustomed to and familiar with not only the terminology but also the fundamental techniques behind the technology. »: A foundation of knowledge regarding machine learning is critical for physicians so they can begin to understand the details in the algorithms that are being developed, which provide improved accuracy compared with clinicians, decreased time required, and a heightened ability to triage patients."
34602525,2022,Journal of atherosclerosis and thrombosis,Research Article,Cardiology,The Future Role of High-Performance Computing in Cardiovascular Medicine and Science -Impact of Multi-Dimensional Data Analysis.,"Advances in High-performance computing (HPC) technology have reached the capacity to inform cardiovascular (CV) science in the realm of both inductive and constructive approaches. Clinical trials allow for the comparison of the effect of an intervention without the need to understand the mechanism. This is a typical example of an inductive approach. In the HPC field, training an artificial intelligence (AI) model, constructed by neural networks, to predict future CV events with the use of large scale multi-dimensional datasets is the counterpart that may rely on as well as inform understanding of mechanistic underpinnings for optimization. However, in contrast to clinical trials, AI can calculate event risk at the individual level and has the potential to inform and refine the application of personalized medicine.Despite this clear strength, results from AI analyses may identify otherwise unidentified/unexpected (i.e. non-intuitive) relationships between multi-dimensional data and clinical outcomes that may further unravel potential mechanistic pathways and identify potential therapeutic targets, therebycontributing to the parsing of observational associations from causal links. The constructive approach will remain critical to overcome limitations of existing knowledge and anchored biases to actualize a more sophisticated understanding of the complex pathobiology of CV diseases.HPC technology has the potential to underpin this constructive approach in CV basic and clinical science. In general, even complex biological phenomena can be reduced to combinations of simple biological/chemical/physical laws. In the deductive approach, the focus/intent is to explain complex CV diseases by combinations of simple principles."
34972616,2022,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,Editorial,Surgery,Near future image of orthopedics after COVID-19 pandemic.,"The pandemic of the new coronavirus infection has swept the world and killed more than 5 million people, which has shocked all human beings who have believed in modern medical progress. Along with the sedation of infections, the balance between restriction and acceleration of socio-economic activities is difficult. With the spread of vaccines and the advent of viral therapeutic agents, we expect how to control this pandemic has finally become visible. In this situation, we realize that data science and robotics innovations are quite important in many medical fields. Artificial intelligence (AI) diagnosis and remote medical care are becoming a reality, and this direction will accelerate further in 2022, the first year of post-pandemic. The trend of digital transformation (Dx) will also be rushing into Orthopedics next year. In addition, research on virtual reality and augmented reality is being actively conducted, and it has become possible to use it for surgical simulation and technical training. As, in the field of abdominal surgery, remote robotic surgery will soon become available in the field of orthopedics as well. These Dx trend will prevail to our field instead of experience, and knowledge of medicine, which can change the medical care style dramatically in near future. It is crucial for orthopedic surgeons to always aim for its development and evolution."
35039425,2022,Journal of the American Board of Family Medicine : JABFM,Research Article,Medical Education,A Clinician's Guide to Artificial Intelligence (AI): Why and How Primary Care Should Lead the Health Care AI Revolution.,"Artificial intelligence (AI) in health care is the future that is already here. Despite its potential as a transformational force for primary care, most primary care providers (PCPs) do not know what it is, how it will impact them and their patients, and what its key limitations and ethical pitfalls are. This article is a beginner's guide to health care AI, written for the frontline PCP. Primary care-as the dominant force at the base of the health care pyramid, with its unrivaled interconnectedness to every part of the health system and its deep relationship with patients and communities-is the most uniquely suited specialty to lead the health care AI revolution. PCPs can advance health care AI by partnering with technologists to ensure that AI use cases are relevant and human-centered, applying quality improvement methods to health care AI implementations, and advocating for inclusive and ethical AI that combats, rather than worsens, health inequities."
36143468,2022,"Life (Basel, Switzerland)",Review,Medical Informatics / Digital Health,Artificial Intelligence in Biological Sciences.,"Artificial intelligence (AI), currently a cutting-edge concept, has the potential to improve the quality of life of human beings. The fields of AI and biological research are becoming more intertwined, and methods for extracting and applying the information stored in live organisms are constantly being refined. As the field of AI matures with more trained algorithms, the potential of its application in epidemiology, the study of host-pathogen interactions and drug designing widens. AI is now being applied in several fields of drug discovery, customized medicine, gene editing, radiography, image processing and medication management. More precise diagnosis and cost-effective treatment will be possible in the near future due to the application of AI-based technologies. In the field of agriculture, farmers have reduced waste, increased output and decreased the amount of time it takes to bring their goods to market due to the application of advanced AI-based approaches. Moreover, with the use of AI through machine learning (ML) and deep-learning-based smart programs, one can modify the metabolic pathways of living systems to obtain the best possible outputs with the minimal inputs. Such efforts can improve the industrial strains of microbial species to maximize the yield in the bio-based industrial setup. This article summarizes the potentials of AI and their application to several fields of biology, such as medicine, agriculture, and bio-based industry."
35046123,2022,Open heart,Editorial,Medical Informatics / Digital Health,Artificial intelligence and machine learning: the resurgence of the industrial revolution by robots.,
34954220,2022,Ophthalmology. Glaucoma,Research Article,Ophthalmology,A Case for the Use of Artificial Intelligence in Glaucoma Assessment.,"We hypothesize that artificial intelligence (AI) applied to relevant clinical testing in glaucoma has the potential to enhance the ability to detect glaucoma. This premise was discussed at the recent Collaborative Community on Ophthalmic Imaging meeting, ""The Future of Artificial Intelligence-Enabled Ophthalmic Image Interpretation: Accelerating Innovation and Implementation Pathways,"" held virtually September 3-4, 2020. The Collaborative Community on Ophthalmic Imaging (CCOI) is an independent self-governing consortium of stakeholders with broad international representation from academic institutions, government agencies, and the private sector whose mission is to act as a forum for the purpose of helping speed innovation in healthcare technology. It was 1 of the first 2 such organizations officially designated by the Food and Drug Administration in September 2019 in response to their announcement of the collaborative community program as a strategic priority for 2018-2020. Further information on the CCOI can be found online at their website (https://www.cc-oi.org/about). Artificial intelligence for glaucoma diagnosis would have high utility globally, because access to care is limited in many parts of the world and half of all people with glaucoma are unaware of their illness. The application of AI technology to glaucoma diagnosis has the potential to broadly increase access to care worldwide, in essence flattening the Earth by providing expert-level evaluation to individuals even in the most remote regions of the planet."
35699583,2022,Radiology,Editorial,Medical Informatics / Digital Health,Multitask Deep Learning Tools Are Needed for Clinical Practice-Especially for Low Back Pain.,
36080827,2022,"Sensors (Basel, Switzerland)",Research Article,Pathology / Laboratory Medicine,Smart Diagnostics: Combining Artificial Intelligence and In Vitro Diagnostics.,"We are beginning a new era of Smart Diagnostics-integrated biosensors powered by recent innovations in embedded electronics, cloud computing, and artificial intelligence (AI). Universal and AI-based in vitro diagnostics (IVDs) have the potential to exponentially improve healthcare decision making in the coming years. This perspective covers current trends and challenges in translating Smart Diagnostics. We identify essential elements of Smart Diagnostics platforms through the lens of a clinically validated platform for digitizing biology and its ability to learn disease signatures. This platform for biochemical analyses uses a compact instrument to perform multiclass and multiplex measurements using fully integrated microfluidic cartridges compatible with the point of care. Image analysis digitizes biology by transforming fluorescence signals into inputs for learning disease/health signatures. The result is an intuitive Score reported to the patients and/or providers. This AI-linked universal diagnostic system has been validated through a series of large clinical studies and used to identify signatures for early disease detection and disease severity in several applications, including cardiovascular diseases, COVID-19, and oral cancer. The utility of this Smart Diagnostics platform may extend to multiple cell-based oncology tests via cross-reactive biomarkers spanning oral, colorectal, lung, bladder, esophageal, and cervical cancers, and is well-positioned to improve patient care, management, and outcomes through deployment of this resilient and scalable technology. Lastly, we provide a future perspective on the direction and trajectory of Smart Diagnostics and the transformative effects they will have on health care."
32767299,2022,"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",Research Article,Radiology / Diagnostic Imaging,Accuracy of Trained Physicians is Inferior to Deep Learning-Based Algorithm for Determining Angles in Ultrasound of the Newborn Hip.,"PURPOSE: Sonographic diagnosis of developmental dysplasia of the hip allows treatment with a flexion-abduction orthosis preventing hip luxation. Accurate determination of alpha and beta angles according to Graf is crucial for correct diagnosis. It is unclear if algorithms could predict the angles. We aimed to compare the accuracy for users and automation reporting root mean squared errors (RMSE). MATERIALS AND METHODS: We used 303 306 ultrasound images of newborn hips collected between 2009 and 2016 in screening consultations. Trained physicians labelled every second image with alpha and beta angles during the consultations. A random subset of images was labeled with time and precision under lab conditions as ground truth. Automation predicted the two angles using a convolutional neural network (CNN). The analysis was focused on the alpha angle. RESULTS: Three methods were implemented, each with a different abstraction of the problem: (1) CNNs that directly learn the angles without any post-processing steps; (2) CNNs that return the relevant landmarks in the image to identify the angles; (3) CNNs that return the base line, bony roof line, and the cartilage roof line which are necessary to calculate the angles. The RMSE between physicians and ground truth were found to be 7.1° for alpha. The best CNN architecture was (2) landmark detection. The RMSE between landmark detection and ground truth was 3.9° for alpha. CONCLUSION: The accuracy of physicians in their daily routine is inferior to deep learning-based algorithms for determining angles in ultrasound of the newborn hip. Similar methods could be used to support physicians. UNLABELLED: ZIEL:  Die Diagnose von Hüftdysplasie mittels Sonografie erlaubt das Behandeln mit Flexionsorthese, um einer Hüftluxation vorzubeugen. Genaue Bestimmungen der Winkel Alpha und Beta nach Graf sind essenziell für eine korrekte Diagnose. Es ist unklar, ob ein Algorithmus die Winkel vorhersagen könnte. Diese Arbeit vergleicht die Genauigkeit für Anwender und Automation mittels mittlerer quadratischer Fehler (MQF). MATERIAL UND METHODE: Wir verwendeten 303 306 Ultraschallbilder von Neugeborenenhüften, die zwischen 2009 und 2016 in Screening-Untersuchungen akquiriert wurden. Ausgebildete Ärzte bestimmten während der Konsultation in jedem zweiten Bild die Winkel Alpha und Beta. Eine zufällige Teilmenge an Bildern wurde unter Laborbedingungen mit Zeit und Präzision als Ground Truth beschriftet. Die Automation sagte die beiden Winkel mittels convolutional neural network (CNN) voraus. Die Analyse war auf den Winkel Alpha fokussiert. ERGEBNISSE: Drei Methoden wurden implementiert, jede davon mit einer anderen Abstraktion des Problems: (1) CNNs, die Winkel ohne post-processing direkt lernen; (2) CNNs, die Punkte im Bild bestimmen, die relevant sind, um die Winkel zu bestimmen; (3) CNNs, die Grundlinie, Pfannendachlinie und die Knorpeldachlinie in das Bild legen, um daraus die Winkel zu bestimmen. Der MQF zwischen Ärzten und der Ground Truth war 7,1° für Alpha. Die beste CNN-Architektur war (2) die Detektion der Punkte. Der MQF zwischen Punktedetektion und Ground Truth betrug 3,9° für Alpha. SCHLUSSFOLGERUNG: Die Genauigkeit von Ärzten in ihrer täglichen Arbeit ist kleiner als diejenige eines Deep-Learning-basierten Algorithmus beim Bestimmen von Winkeln im Ultraschall der Säuglingshüfte. Ähnliche Methoden könnten verwendet werden, um Ärzte zu unterstützen."
36514232,2022,Veterinary radiology & ultrasound : the official journal of the American College of Veterinary Radiology and the International Veterinary Radiology Association,Letter,Multidisciplinary / Other,Artificial intelligence in veterinary care will be a major driving force behind ai advancements in healthcare.,
37466892,2023,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,Editorial,Mental Health / Psychiatry,Artificial Intelligence: the Next Frontier in Psychiatric Treatment and Education.,
35965155,2023,Academic radiology,Research Article,Radiology / Diagnostic Imaging,Academic Radiology Departments Should Lead Artificial Intelligence Initiatives.,"RATIONALE AND OBJECTIVES: With a track record of innovation and unique access to digital data, radiologists are distinctly positioned to usher in a new medical era of artificial intelligence (AI). MATERIALS AND METHODS: In this Perspective piece, we summarize AI initiatives that academic radiology departments should consider related to the traditional pillars of education, research, and clinical excellence, while also introducing a new opportunity for engagement with industry. RESULTS: We provide early successful examples of each as well as suggestions to guide departments towards future success. CONCLUSION: Our goal is to assist academic radiology leaders in bringing their departments into the AI era and realizing its full potential in our field."
37429545,2023,Ageing research reviews,Review,Neurology / Neuroscience,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease.","Parkinson's disease (PD) is characterized by the loss of neuronal cells, which leads to synaptic dysfunction and cognitive defects. Despite the advancements in treatment strategies, the management of PD is still a challenging event. Early prediction and diagnosis of PD are of utmost importance for effective management of PD. In addition, the classification of patients with PD as compared to normal healthy individuals also imposes drawbacks in the early diagnosis of PD. To address these challenges, artificial intelligence (AI) and machine learning (ML) models have been implicated in the diagnosis, prediction, and treatment of PD. Recent times have also demonstrated the implication of AI and ML models in the classification of PD based on neuroimaging methods, speech recording, gait abnormalities, and others. Herein, we have briefly discussed the role of AI and ML in the diagnosis, treatment, and identification of novel biomarkers in the progression of PD. We have also highlighted the role of AI and ML in PD management through altered lipidomics and gut-brain axis. We briefly explain the role of early PD detection through AI and ML algorithms based on speech recordings, handwriting patterns, gait abnormalities, and neuroimaging techniques. Further, the review discuss the potential role of the metaverse, the Internet of Things, and electronic health records in the effective management of PD to improve the quality of life. Lastly, we also focused on the implementation of AI and ML-algorithms in neurosurgical process and drug discovery."
37088277,2023,American journal of obstetrics and gynecology,Research Article,Obstetrics / Gynecology,ChatGPT outscored human candidates in a virtual objective structured clinical examination in obstetrics and gynecology.,"BACKGROUND: Natural language processing is a form of artificial intelligence that allows human users to interface with a machine without using complex codes. The ability of natural language processing systems, such as ChatGPT, to successfully engage with healthcare systems requiring fluid reasoning, specialist data interpretation, and empathetic communication in an unfamiliar and evolving environment is poorly studied. This study investigated whether the ChatGPT interface could engage with and complete a mock objective structured clinical examination simulating assessment for membership of the Royal College of Obstetricians and Gynaecologists. OBJECTIVE: This study aimed to determine whether ChatGPT, without additional training, would achieve a score at least equivalent to that achieved by human candidates who sat for virtual objective structured clinical examinations in Singapore. STUDY DESIGN: This study was conducted in 2 phases. In the first phase, a total of 7 structured discussion questions were selected from 2 historical cohorts (cohorts A and B) of objective structured clinical examination questions. ChatGPT was examined using these questions and responses recorded in a script. Of note, 2 human candidates (acting as anonymizers) were examined on the same questions using videoconferencing, and their responses were transcribed verbatim into written scripts. The 3 sets of response scripts were mixed, and each set was allocated to 1 of 3 human actors. In the second phase, actors were used to presenting these scripts to examiners in response to the same examination questions. These responses were blind scored by 14 qualified examiners. ChatGPT scores were unblinded and compared with historical human candidate performance scores. RESULTS: The average score given to ChatGPT by 14 examiners was 77.2%. The average historical human score (n=26 candidates) was 73.7 %. ChatGPT demonstrated sizable performance improvements over the average human candidate in several subject domains. The median time taken for ChatGPT to complete each station was 2.54 minutes, well before the 10 minutes allowed. CONCLUSION: ChatGPT generated factually accurate and contextually relevant structured discussion answers to complex and evolving clinical questions based on unfamiliar settings within a very short period. ChatGPT outperformed human candidates in several knowledge areas. Not all examiners were able to discern between human and ChatGPT responses. Our data highlight the emergent ability of natural language processing models to demonstrate fluid reasoning in unfamiliar environments and successfully compete with human candidates that have undergone extensive specialist training."
36924908,2023,American journal of obstetrics and gynecology,Research Article,Obstetrics / Gynecology,Chat Generative Pre-trained Transformer: why we should embrace this technology.,"With the advent of artificial intelligence that not only can learn from us but also can communicate with us in plain language, humans are embarking on a brave new future. The interaction between humans and artificial intelligence has never been so widespread. Chat Generative Pre-trained Transformer is an artificial intelligence resource that has potential uses in the practice of medicine. As clinicians, we have the opportunity to help guide and develop new ways to use this powerful tool. Optimal use of any tool requires a certain level of comfort. This is best achieved by appreciating its power and limitations. Being part of the process is crucial in maximizing its use in our field. This clinical opinion demonstrates the potential uses of Chat Generative Pre-trained Transformer for obstetrician-gynecologists and encourages readers to serve as the driving force behind this resource."
37204548,2023,Annals of biomedical engineering,Letter,Surgery,GPT4: The Indispensable Helper for Neurosurgeons in the New Era.,"GPT4 is the newest multimodal language model released by OpenAI. With its powerful capabilities, GPT4 has great potential to revolutionize the healthcare industry. In this study, we proposed various ways GPT4 could display its talents in the field of neurosurgery in future. We believe that GPT4 is prone to become an indispensable assistant for neurosurgeons in the new era."
37335374,2023,Annals of biomedical engineering,Letter,Internal Medicine / Primary Care,The Rise of AI: How Artificial Intelligence is Revolutionizing Infectious Disease Control.,"Artificial Intelligence (AI) has proven to be an effective tool in predicting, detecting, and mitigating the spread of infectious diseases, especially during the COVID-19 pandemic. The technology is increasingly playing a role in preventing future health crises by predicting outbreaks, identifying high-risk areas, and aiding in vaccine development. AI can track and trace infected individuals and identify potential hotspots, help reduce the spread of infectious diseases, and monitor patient symptoms, enabling healthcare professionals to provide effective treatment."
37183438,2023,Cancer,Research Article,Oncology,ChatGPT-A promising generative AI tool and its implications for cancer care.,"Since its launch, ChatGPT has taken the internet by storm and has the potential to be used broadly in the health care system, particularly in a setting such as medical oncology. ChatGPT is well suited to review and extract key content from records of patients with cancer, interpret next-generation sequencing reports, and offer a list of potential clinical trial options."
37366774,2023,Cancer biotherapy & radiopharmaceuticals,Editorial,Oncology,Cancer Care by Committee to be Superseded by Personal Physician-Patient Partnership Informed by Artificial Intelligence.,"Multidisciplinary tumor boards (MTBs) have become the reference standard of cancer management, founded upon randomized controlled trial (RCT) evidence-based guidelines. The inordinate delays inherent in awaiting formal regulatory agency approvals of novel therapeutic agents, and the rigidities and nongeneralizability of this regimented approach, often deny cancer patients timely access to effective innovative treatment. Reluctance of MTBs to accept theranostic care of patients with advanced neuroendocrine tumors (NETs) and metastatic castrate-resistant prostate cancer resulted in decades of delay in the incorporation of 177Lu-octreotate and 177Lu-prostate-specific membrane antigen (PSMA) into routine clinical oncology practice. Recent developments in immunotherapy and molecular targeted precision therapy, based on N-of-One individual multifactorial genome analyses, have greatly increased the complexity of decision-making. Burgeoning specialist workload and tight time frames now threaten to overwhelm the logistically, and emotionally, demanding MTB system. It is hypothesized that the advent of advanced artificial intelligence technology and Chatbot natural language algorithms will shift the cancer care paradigm from a MTB management model toward a personal physician-patient shared-care partnership for real-world practice of precision individualized holistic oncology."
37686619,2023,Cancers,Review,Oncology,Artificial Intelligence in Lung Cancer Screening: The Future Is Now.,"Lung cancer has one of the worst morbidity and fatality rates of any malignant tumour. Most lung cancers are discovered in the middle and late stages of the disease, when treatment choices are limited, and patients' survival rate is low. The aim of lung cancer screening is the identification of lung malignancies in the early stage of the disease, when more options for effective treatments are available, to improve the patients' outcomes. The desire to improve the efficacy and efficiency of clinical care continues to drive multiple innovations into practice for better patient management, and in this context, artificial intelligence (AI) plays a key role. AI may have a role in each process of the lung cancer screening workflow. First, in the acquisition of low-dose computed tomography for screening programs, AI-based reconstruction allows a further dose reduction, while still maintaining an optimal image quality. AI can help the personalization of screening programs through risk stratification based on the collection and analysis of a huge amount of imaging and clinical data. A computer-aided detection (CAD) system provides automatic detection of potential lung nodules with high sensitivity, working as a concurrent or second reader and reducing the time needed for image interpretation. Once a nodule has been detected, it should be characterized as benign or malignant. Two AI-based approaches are available to perform this task: the first one is represented by automatic segmentation with a consequent assessment of the lesion size, volume, and densitometric features; the second consists of segmentation first, followed by radiomic features extraction to characterize the whole abnormalities providing the so-called ""virtual biopsy"". This narrative review aims to provide an overview of all possible AI applications in lung cancer screening."
36706908,2023,Chest,Review,Internal Medicine / Primary Care,Smart Devices Are Poised to Revolutionize the Usefulness of Respiratory Sounds.,"The association between breathing sounds and respiratory health or disease has been exceptionally useful in the practice of medicine since the advent of the stethoscope. Remote patient monitoring technology and artificial intelligence offer the potential to develop practical means of assessing respiratory function or dysfunction through continuous assessment of breathing sounds when patients are at home, at work, or even asleep. Automated reports such as cough counts or the percentage of the breathing cycles containing wheezes can be delivered to a practitioner via secure electronic means or returned to the clinical office at the first opportunity. This has not previously been possible. The four respiratory sounds that most lend themselves to this technology are wheezes, to detect breakthrough asthma at night and even occupational asthma when a patient is at work; snoring as an indicator of OSA or adequacy of CPAP settings; cough in which long-term recording can objectively assess treatment adequacy; and crackles, which, although subtle and often overlooked, can contain important clinical information when appearing in a home recording. In recent years, a flurry of publications in the engineering literature described construction, usage, and testing outcomes of such devices. Little of this has appeared in the medical literature. The potential value of this technology for pulmonary medicine is compelling. We expect that these tiny, smart devices soon will allow us to address clinical questions that occur away from the clinic."
37055885,2023,Current pharmaceutical biotechnology,Review,Oncology,Artificial Intelligence: An Emerging Intellectual Sword for Battling Carcinomas.,"Artificial Intelligence (AI) is a branch of computer science that deals with mathematical algorithms to mimic the abilities and intellectual work performed by the human brain. Nowadays, AI is being effectively utilized in addressing difficult healthcare challenges, including complex biological abnormalities, diagnosis, treatment, and clinical prognosis of various life-threatening diseases, like cancer. Deep neural networking (DNN), a subset of AI, is prominently being applied in clinical research programs on cancer. AI acts as a promising tool in radiotherapy, mammography, imaging, cancer prognosis, cancer genomics and molecular signaling, pathology, drug discovery, chemotherapy, immunotherapy, and clinical decision support system. This article provides an elaborative view concerning the application of AI in cancer, an explorative review that how AI has been used as a trenchant tool in the past, present and future of cancer. This review article provides a new prospective that how the mimic of human intellectual (AI technology) has put forward an unprecedented accuracy in the field of clinical research of cancer."
36736581,2023,Drug discovery today,Review,Medical Informatics / Digital Health,Pharma's Bio-AI revolution.,"Drug development has become unbearably slow and expensive. A key underlying problem is the clinical prediction challenge: the inability to predict which drug candidates will be safe in the human body and for whom. Recently, a dramatic regulatory change has removed FDA's mandated reliance on antiquated, ineffective animal studies. A new frontier is an integration of several disruptive technologies [machine learning (ML), patient-on-chip, real-time sensing, and stem cells], which when integrated, have the potential to address this challenge, drastically cutting the time and cost of developing drugs, and tailoring them to individual patients."
37705603,2023,Frontiers in artificial intelligence,Review,Medical Informatics / Digital Health,Artificial intelligence in clinical medicine: catalyzing a sustainable global healthcare paradigm.,"As the demand for quality healthcare increases, healthcare systems worldwide are grappling with time constraints and excessive workloads, which can compromise the quality of patient care. Artificial intelligence (AI) has emerged as a powerful tool in clinical medicine, revolutionizing various aspects of patient care and medical research. The integration of AI in clinical medicine has not only improved diagnostic accuracy and treatment outcomes, but also contributed to more efficient healthcare delivery, reduced costs, and facilitated better patient experiences. This review article provides an extensive overview of AI applications in history taking, clinical examination, imaging, therapeutics, prognosis and research. Furthermore, it highlights the critical role AI has played in transforming healthcare in developing nations."
37529703,2023,Frontiers in pharmacology,Research Article,Medical Informatics / Digital Health,Future implications of ChatGPT in pharmaceutical industry: drug discovery and development.,
37927543,2023,Health science reports,Research Article,Medical Informatics / Digital Health,The power of ChatGPT in revolutionizing rural healthcare delivery.,
38024205,2023,International journal of public health,Research Article,Multidisciplinary / Other,Using Artificial Intelligence to Advance Public Health.,
38259001,2023,"International journal of surgery (London, England)",Research Article,Medical Informatics / Digital Health,Revolutionizing clinical trials: the role of AI in accelerating medical breakthroughs.,"Clinical trials are the essential assessment for safe, reliable, and effective drug development. Data-related limitations, extensive manual efforts, remote patient monitoring, and the complexity of traditional clinical trials on patients drive the application of Artificial Intelligence (AI) in medical and healthcare organisations. For expeditious and streamlined clinical trials, a personalised AI solution is the best utilisation. AI provides broad utility options through structured, standardised, and digitally driven elements in medical research. The clinical trials are a time-consuming process with patient recruitment, enrolment, frequent monitoring, and medical adherence and retention. With an AI-powered tool, the automated data can be generated and managed for the trial lifecycle with all the records of the medical history of the patient as patient-centric AI. AI can intelligently interpret the data, feed downstream systems, and automatically fill out the required analysis report. This article explains how AI has revolutionised innovative ways of collecting data, biosimulation, and early disease diagnosis for clinical trials and overcomes the challenges more precisely through cost and time reduction, improved efficiency, and improved drug development research with less need for rework. The future implications of AI to accelerate clinical trials are important in medical research because of its fast output and overall utility."
37417554,2023,Investigative and clinical urology,Editorial,Surgery,"Unleashing the potential: Artificial intelligence in urology for enhanced diagnosis, treatment, and personalized care.",
37656938,2023,JNCI cancer spectrum,Letter,Oncology,RE: Artificial intelligence chatbots will revolutionize how cancer patients access information: ChatGPT represents a paradigm-shift.,
35695277,2023,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,Research Article,Cardiology,"Is the Cardiovascular Specialist Ready For the Fifth Revolution? The Role of Artificial Intelligence, Machine Learning, Big Data Analysis, Intelligent Swarming, and Knowledge-Centered Service on the Future of Global Cardiovascular Healthcare Delivery.",
37347508,2023,Journal of medical Internet research,Research Article,Medical Informatics / Digital Health,The ChatGPT (Generative Artificial Intelligence) Revolution Has Made Artificial Intelligence Approachable for Medical Professionals.,"In November 2022, OpenAI publicly launched its large language model (LLM), ChatGPT, and reached the milestone of having over 100 million users in only 2 months. LLMs have been shown to be useful in a myriad of health care-related tasks and processes. In this paper, I argue that attention to, public access to, and debate about LLMs have initiated a wave of products and services using generative artificial intelligence (AI), which had previously found it hard to attract physicians. This paper describes what AI tools have become available since the beginning of the ChatGPT revolution and contemplates how it they might change physicians' perceptions about this breakthrough technology."
37751243,2023,Journal of medical Internet research,Research Article,Medical Informatics / Digital Health,A Future of Smarter Digital Health Empowered by Generative Pretrained Transformer.,"Generative pretrained transformer (GPT) tools have been thriving, as ignited by the remarkable success of OpenAI's recent chatbot product. GPT technology offers countless opportunities to significantly improve or renovate current health care research and practice paradigms, especially digital health interventions and digital health-enabled clinical care, and a future of smarter digital health can thus be expected. In particular, GPT technology can be incorporated through various digital health platforms in homes and hospitals embedded with numerous sensors, wearables, and remote monitoring devices. In this viewpoint paper, we highlight recent research progress that depicts the future picture of a smarter digital health ecosystem through GPT-facilitated centralized communications, automated analytics, personalized health care, and instant decision-making."
36869942,2023,Journal of medical systems,Editorial,Medical Informatics / Digital Health,Artificial Intelligence in Medicine & ChatGPT: De-Tether the Physician.,
