pmid,pub_year,stance,theme(s),mechanism,specialty,region
35149301,2022,Neutral,,,Medical Informatics / Digital Health,North America
35151388,2022,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35152047,2022,Caution,ethics_bias|regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35152371,2022,Cautious Optimism,,,Cardiology,East Asia
35153106,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35154615,2021,Neutral,,,Medical Informatics / Digital Health,East Asia
35155194,2021,Cautious Optimism,,,Dentistry,East Asia
35157950,2022,Cautious Optimism,,,Ophthalmology,North America
35158874,2022,Cautious Optimism,,,Oncology,Western Europe
35160065,2022,Caution,safety_clinical|ethics_bias,misclassification|discriminative,Ophthalmology,Western Europe
35160148,2022,Caution,safety_clinical|ethics_bias,misclassification|discriminative,Cardiology,Western Europe
35162226,2022,Caution,ethics_bias|safety_clinical,misclassification|discriminative,Ophthalmology,East Asia
35162751,2022,FAILED,,,Dentistry,Western Europe
35162901,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Sub-Saharan Africa
35164492,2022,Cautious Optimism,,,Multidisciplinary / Other,Western Europe
35164977,2022,Caution,replacement|safety_clinical|regulation,none_or_unclear|both,Emergency Medicine / Critical Care,North America
35165248,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,Unknown
35166969,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35167976,2022,Cautious Optimism,,,Oncology,South/Southeast Asia
35169963,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35171335,2022,Cautious Optimism,,,Surgery,Western Europe
35172999,2022,Cautious Optimism,,,Mental Health / Psychiatry,Western Europe
35173191,2022,Cautious Optimism,,,Ophthalmology,North America
35174801,2022,Cautious Optimism,,,Ophthalmology,North America
35175381,2022,Caution,safety_clinical|hallucination,misclassification|discriminative,Oncology,Western Europe
35175575,2022,Alarm,safety_clinical|regulation|ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,North America
35177029,2022,Cautious Optimism,,,Cardiology,East Asia
35177258,2022,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
35177281,2022,Caution,safety_clinical|ethics_bias|data_privacy,none_or_unclear|unclear,Surgery,Middle East / North Africa
35180619,2022,Cautious Optimism,,,Neurology / Neuroscience,Middle East / North Africa
35182715,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35182926,2022,Cautious Optimism,,,Dermatology,Western Europe
35183227,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,Middle East / North Africa
35183281,2022,Caution,safety_clinical|hallucination|regulation,misclassification|discriminative,Mental Health / Psychiatry,Western Europe
35183551,2022,Cautious Optimism,,,Dermatology,East Asia
35183766,2022,Cautious Optimism,,,Neurology / Neuroscience,Latin America / Oceania
35183899,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Latin America / Oceania
35184276,2022,Cautious Optimism,,,Neurology / Neuroscience,Western Europe
35184846,2022,Cautious Optimism,,,Dentistry,Middle East / North Africa
35185012,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35187568,2022,Advocacy,,,Cardiology,North America
35190505,2022,Caution,safety_clinical,misclassification|discriminative,Internal Medicine / Primary Care,Unknown
35190650,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
35190824,2022,Caution,ethics_bias|regulation,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35191972,2022,Cautious Optimism,,,Medical Education,North America
35194568,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35194673,2022,Cautious Optimism,,,Cardiology,Western Europe
35195746,2022,Neutral,,,Oncology,Western Europe
35199063,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35199553,2021,Advocacy,,,Medical Informatics / Digital Health,Eastern Europe
35200722,2022,Cautious Optimism,,,Ophthalmology,Western Europe
35201510,2022,Cautious Optimism,,,Cardiology,North America
35202417,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35203086,2023,Cautious Optimism,,,Surgery,Unknown
35203603,2022,Cautious Optimism,,,Cardiology,East Asia
35204328,2022,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35204365,2022,Neutral,,,Radiology / Diagnostic Imaging,East Asia
35205735,2022,Cautious Optimism,,,Oncology,East Asia
35207566,2022,Cautious Optimism,,,Cardiology,North America
35210958,2022,Caution,ethics_bias|regulation,misclassification|discriminative,Medical Informatics / Digital Health,North America
35212459,2022,Cautious Optimism,,,Nursing,Latin America / Oceania
35212918,2022,Caution,ethics_bias|data_privacy|regulation,misclassification|discriminative,Mental Health / Psychiatry,North America
35212940,2022,Cautious Optimism,,,Mental Health / Psychiatry,North America
35213318,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Unknown
35217284,2022,Cautious Optimism,,,Cardiology,North America
35218142,2022,Cautious Optimism,,,Pediatrics,Western Europe
35218987,2022,Cautious Optimism,,,Ophthalmology,North America
35220490,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35224658,2022,Cautious Optimism,,,Pediatrics,Western Europe
35225694,2023,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35225704,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35225723,2022,Advocacy,,,Oncology,East Asia
35227128,2022,Cautious Optimism,,,Surgery,North America
35227442,2022,Caution,safety_clinical|regulation|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35227443,2022,Caution,regulation|other,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35227444,2022,Caution,regulation|other,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35227447,2022,Caution,regulation|safety_clinical|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35227448,2022,Caution,replacement|existential,none_or_unclear|unclear,Medical Education,Western Europe
35227670,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
35228172,2022,Caution,ethics_bias|hallucination|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,South/Southeast Asia
35229252,2022,Neutral,,,Surgery,North America
35230192,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35232784,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35233437,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35236598,2022,Cautious Optimism,,,Oncology,North America
35237939,2022,Cautious Optimism,,,Surgery,Eastern Europe
35238882,2022,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35238918,2022,Caution,regulation|ethics_bias,none_or_unclear|unclear,Oncology,Eastern Europe
35238972,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35241439,2022,Neutral,,,Emergency Medicine / Critical Care,Western Europe
35243281,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35244029,2022,Cautious Optimism,,,Surgery,North America
35246744,2022,Caution,safety_clinical|regulation|hallucination,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35249120,2023,Cautious Optimism,,,Oncology,Western Europe
35249179,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,South/Southeast Asia
35251564,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Middle East / North Africa
35253233,2022,Cautious Optimism,,,Mental Health / Psychiatry,North America
35253378,2022,Cautious Optimism,,,Surgery,Latin America / Oceania
35254422,2022,Cautious Optimism,,,Ophthalmology,East Asia
35255755,2022,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35258136,2022,Cautious Optimism,,,Cardiology,North America
35259709,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35262831,2022,Cautious Optimism,,,Oncology,East Asia
35266037,2022,Caution,safety_clinical,misclassification|both,Internal Medicine / Primary Care,Western Europe
35266894,2022,Cautious Optimism,,,Ophthalmology,East Asia
35267657,2022,Cautious Optimism,,,Oncology,North America
35271304,2022,Caution,safety_clinical|hallucination,misclassification|discriminative,Oncology,North America
35271382,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Latin America / Oceania
35271974,2023,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35272300,2022,Cautious Optimism,,,Obstetrics / Gynecology,North America
35272558,2022,Cautious Optimism,,,Ophthalmology,Unknown
35275258,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35276550,2022,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35277196,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
35277666,2022,Caution,hallucination|safety_clinical,none_or_unclear|unclear,Oncology,North America
35278146,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Eastern Europe
35278679,2022,Cautious Optimism,,,Medical Informatics / Digital Health,South/Southeast Asia
35279399,2022,Cautious Optimism,,,Emergency Medicine / Critical Care,Western Europe
35280303,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35280776,2022,Cautious Optimism,,,Oncology,East Asia
35280932,2022,Advocacy,,,Radiology / Diagnostic Imaging,North America
35284252,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35286139,2023,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35286140,2022,Cautious Optimism,,,Cardiology,Western Europe
35288438,2023,Cautious Optimism,,,Ophthalmology,East Asia
35289140,2022,Cautious Optimism,,,Cardiology,East Asia
35289146,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35289862,2022,Caution,safety_clinical|regulation|ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
35290675,2022,Caution,ethics_bias|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35290937,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Latin America / Oceania
35292794,2022,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
35296262,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,South/Southeast Asia
35296431,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Eastern Europe
35297766,2022,Caution,other,none_or_unclear|discriminative,Obstetrics / Gynecology,Western Europe
35299098,2022,Caution,ethics_bias|regulation|data_privacy,none_or_unclear|unclear,Medical Informatics / Digital Health,Eastern Europe
35299747,2022,Cautious Optimism,,,Oncology,East Asia
35300850,2023,Cautious Optimism,,,Dentistry,North America
35302199,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,South/Southeast Asia
35302538,2022,Cautious Optimism,,,Ophthalmology,Unknown
35302963,2022,Advocacy,,,Surgery,North America
35303556,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35304117,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35306172,2022,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35306382,2022,Cautious Optimism,,,FAILED,Western Europe
35308093,2022,Cautious Optimism,,,Ophthalmology,East Asia
35310889,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,South/Southeast Asia
35311917,2022,Caution,education|cognitive,none_or_unclear|unclear,Medical Education,North America
35312965,2022,Caution,ethics_bias|replacement,none_or_unclear|unclear,Multidisciplinary / Other,Latin America / Oceania
35314508,2022,Cautious Optimism,,,Cardiology,North America
35314631,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35316197,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Unknown
35316363,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35316621,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35316961,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,Latin America / Oceania
35316964,2022,Neutral,,,Medical Informatics / Digital Health,North America
35319854,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35320133,2022,Cautious Optimism,,,Surgery,North America
35322975,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35323118,2022,Caution,cognitive|safety_clinical,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35325567,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Middle East / North Africa
35325881,2022,Cautious Optimism,,,Oncology,Western Europe
35326001,2022,Cautious Optimism,,,Ophthalmology,South/Southeast Asia
35326674,2022,Cautious Optimism,,,Oncology,Western Europe
35326946,2022,Cautious Optimism,,,Obstetrics / Gynecology,East Asia
35327018,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35328275,2022,Cautious Optimism,,,Cardiology,North America
35328290,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35329136,2022,Cautious Optimism,,,Dentistry,Eastern Europe
35329186,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35330205,2022,Cautious Optimism,,,Ophthalmology,Eastern Europe
35330336,2022,Cautious Optimism,,,Cardiology,East Asia
35330386,2022,Cautious Optimism,,,Dentistry,East Asia
35337638,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35338955,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35341542,2022,Cautious Optimism,,,Cardiology,North America
35342282,2022,Cautious Optimism,,,Medical Informatics / Digital Health,South/Southeast Asia
35344676,2024,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35345305,2022,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35346183,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35347371,2022,Cautious Optimism,,,Pediatrics,Western Europe
35347425,2022,Cautious Optimism,,,Surgery,North America
35347566,2022,Cautious Optimism,,,Cardiology,Western Europe
35348381,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35348765,2022,Cautious Optimism,,,Oncology,North America
35348909,2022,Caution,safety_clinical|hallucination,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
35353118,2022,Cautious Optimism,,,Cardiology,Western Europe
35353711,2022,Cautious Optimism,,,Multidisciplinary / Other,North America
35354409,2022,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35354501,2022,Cautious Optimism,,,Mental Health / Psychiatry,Western Europe
35354505,2022,Neutral,,,Mental Health / Psychiatry,Latin America / Oceania
35355078,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35356982,2022,Caution,safety_clinical|regulation,none_or_unclear|unclear,Surgery,Western Europe
35357976,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35358720,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35359358,2022,Cautious Optimism,,,Oncology,East Asia
35359400,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35360550,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35360739,2022,Cautious Optimism,,,Ophthalmology,East Asia
35361507,2022,Caution,cognitive|existential,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35365318,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Pathology / Laboratory Medicine,East Asia
35370462,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35370846,2022,Cautious Optimism,,,Mental Health / Psychiatry,East Asia
35371946,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35373378,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
35377561,2022,Cautious Optimism,,,Neurology / Neuroscience,Western Europe
35381490,2022,Neutral,,,Radiology / Diagnostic Imaging,North America
35381567,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35382811,2022,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
35385184,2022,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
35390650,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Dermatology,Western Europe
35391864,2022,Alarm,other,misclassification|discriminative,Surgery,Unknown
35393524,2023,Caution,existential|ethics_bias,none_or_unclear|unclear,Medical Education,Western Europe
35393566,2022,Cautious Optimism,,,Medical Informatics / Digital Health,North America
35396036,2022,Cautious Optimism,,,Cardiology,North America
35396183,2022,Caution,safety_clinical|regulation|hallucination,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
35396184,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Radiology / Diagnostic Imaging,Latin America / Oceania
35396245,2022,Caution,ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35396459,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,East Asia
35396996,2022,Caution,ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,North America
35397598,2022,Cautious Optimism,,,Ophthalmology,East Asia
35408238,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Latin America / Oceania
35409575,2022,Cautious Optimism,,,Dermatology,Western Europe
35410952,2022,Caution,ethics_bias|regulation|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,North America
35411629,2022,Cautious Optimism,,,Nursing,Western Europe
35412473,2022,Cautious Optimism,,,Surgery,North America
35412568,2022,Neutral,,,Medical Informatics / Digital Health,North America
35412572,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35413163,2022,Caution,ethics_bias|existential|regulation,none_or_unclear|unclear,Pathology / Laboratory Medicine,Western Europe
35420305,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Radiology / Diagnostic Imaging,Western Europe
35421855,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Oncology,Western Europe
35429716,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35430035,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35430044,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35430139,2022,Cautious Optimism,,,Oncology,North America
35431503,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
35433460,2022,Cautious Optimism,,,Oncology,East Asia
35434134,2022,Cautious Optimism,,,Oncology,Middle East / North Africa
35434261,2022,Caution,hallucination|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,South/Southeast Asia
35434976,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35438326,2022,Cautious Optimism,,,Dentistry,East Asia
35438458,2022,Cautious Optimism,,,Ophthalmology,North America
35438547,2023,Cautious Optimism,,,Medical Informatics / Digital Health,Middle East / North Africa
35438563,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,North America
35439230,2022,Neutral,,,Medical Informatics / Digital Health,North America
35440037,2022,Cautious Optimism,,,Dentistry,South/Southeast Asia
35440170,2022,Caution,hallucination|safety_clinical,misclassification|discriminative,Radiology / Diagnostic Imaging,Western Europe
35441381,2022,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
35441530,2022,Cautious Optimism,,,Cardiology,North America
35442195,2022,Cautious Optimism,,,Oncology,East Asia
35447286,2022,Cautious Optimism,,,Oncology,Western Europe
35447713,2022,Neutral,,,Medical Informatics / Digital Health,Sub-Saharan Africa
35448210,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35448946,2022,Neutral,,,Medical Informatics / Digital Health,Latin America / Oceania
35449199,2022,Caution,safety_clinical|hallucination,misclassification|discriminative,Radiology / Diagnostic Imaging,Western Europe
35449442,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35452142,2022,Cautious Optimism,,,Multidisciplinary / Other,North America
35453884,2022,Cautious Optimism,,,Surgery,Western Europe
35453975,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Eastern Europe
35456357,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Eastern Europe
35459850,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35460017,2023,Cautious Optimism,,,Cardiology,North America
35460019,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35460035,2022,Caution,safety_clinical|ethics_bias,misclassification|discriminative,Pediatrics,North America
35461350,2022,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
35461690,2022,Alarm,safety_clinical|hallucination,misclassification|discriminative,Dermatology,Western Europe
35462032,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Middle East / North Africa
35463778,2022,Alarm,ethics_bias,misclassification|discriminative,Cardiology,Western Europe
35463905,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35467572,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Unknown
35469549,2022,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
35469649,2024,Cautious Optimism,,,Dentistry,East Asia
35469719,2023,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35470133,2022,Alarm,ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
35470252,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
35470639,2022,Neutral,,,Medical Informatics / Digital Health,Western Europe
35473414,2023,Cautious Optimism,,,Ophthalmology,East Asia
35473694,2022,Cautious Optimism,,,Pediatrics,Western Europe
35474366,2022,Cautious Optimism,,,Nursing,Middle East / North Africa
35475733,2022,Cautious Optimism,,,Neurology / Neuroscience,East Asia
35475912,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35475955,2022,Caution,ethics_bias|regulation,none_or_unclear|unclear,Medical Informatics / Digital Health,Unknown
35475959,2022,Caution,ethics_bias|regulation|data_privacy,none_or_unclear|unclear,Medical Informatics / Digital Health,East Asia
35475961,2022,Caution,regulation|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Unknown
35475963,2022,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Unknown
35475967,2022,Caution,ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,Unknown
35475968,2022,Caution,ethics_bias|regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Unknown
35477730,2022,Caution,safety_clinical|hallucination,misclassification|discriminative,Medical Informatics / Digital Health,North America
35480146,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Middle East / North Africa
35480589,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Eastern Europe
35483269,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35483438,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35484289,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,East Asia
35486572,2022,Neutral,,,Radiology / Diagnostic Imaging,North America
35487075,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35487161,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35487778,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35487950,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,East Asia
35489396,2022,Caution,hallucination|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
35489435,2022,Cautious Optimism,,,Internal Medicine / Primary Care,North America
35490413,2022,Caution,ethics_bias|safety_clinical|data_privacy,none_or_unclear|discriminative,Dermatology,Western Europe
35499564,2022,Neutral,,,Oncology,East Asia
35499568,2022,Caution,ethics_bias|regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35501705,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35502116,2022,Cautious Optimism,,,Ophthalmology,South/Southeast Asia
35502379,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35504931,2022,Caution,ethics_bias|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,North America
35505119,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35507346,2022,Neutral,,,Medical Informatics / Digital Health,North America
35511151,2022,Caution,ethics_bias|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,North America
35511758,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
35512511,2022,Cautious Optimism,,,Oncology,Western Europe
35512512,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35513752,2022,Caution,safety_clinical|hallucination|regulation,misclassification|discriminative,Emergency Medicine / Critical Care,Western Europe
35515107,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35517988,2022,Cautious Optimism,,,Mental Health / Psychiatry,East Asia
35522332,2022,Cautious Optimism,,,Pediatrics,North America
35522653,2022,Neutral,,,Neurology / Neuroscience,Western Europe
35523534,2022,Caution,hallucination|safety_clinical,confabulation|generative,Ophthalmology,North America
35523713,2022,Caution,safety_clinical|regulation|data_privacy,none_or_unclear|discriminative,Obstetrics / Gynecology,East Asia
35523917,2022,Caution,safety_clinical|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35524301,2022,Caution,cognitive|safety_clinical|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35525130,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
35526802,2022,Caution,regulation|safety_clinical,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35526892,2022,Caution,ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
35531111,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,East Asia
35533332,2022,Cautious Optimism,,,Ophthalmology,East Asia
35533574,2022,Cautious Optimism,,,Emergency Medicine / Critical Care,North America
35534142,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35534144,2022,Caution,ethics_bias|regulation|data_privacy,none_or_unclear|unclear,Medical Informatics / Digital Health,South/Southeast Asia
35535474,2022,Cautious Optimism,,,Oncology,Western Europe
35535958,2022,Caution,ethics_bias|regulation,none_or_unclear|unclear,Medical Informatics / Digital Health,Latin America / Oceania
35538267,2022,Caution,cognitive|ethics_bias|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35543874,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
35544377,2022,Caution,safety_clinical|regulation|hallucination,misclassification|discriminative,Radiology / Diagnostic Imaging,North America
35545432,2023,Caution,regulation|ethics_bias,none_or_unclear|discriminative,Medical Informatics / Digital Health,Western Europe
35548919,2022,Caution,safety_clinical|regulation|ethics_bias,none_or_unclear|unclear,Oncology,North America
35549978,2022,Cautious Optimism,,,Emergency Medicine / Critical Care,Western Europe
35551007,2022,Caution,safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,Latin America / Oceania
35560048,2022,Cautious Optimism,,,Mental Health / Psychiatry,North America
35560056,2022,Caution,safety_clinical|ethics_bias|regulation,none_or_unclear|discriminative,Mental Health / Psychiatry,North America
35560254,2022,Alarm,hallucination|safety_clinical,misclassification|discriminative,Cardiology,North America
35562098,2023,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
35562124,2023,Cautious Optimism,,,Surgery,North America
35562414,2022,Cautious Optimism,,,Pediatrics,North America
35567418,2022,Cautious Optimism,,,Neurology / Neuroscience,North America
35568690,2022,Alarm,ethics_bias,misclassification|discriminative,Radiology / Diagnostic Imaging,North America
35568691,2022,Alarm,ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,North America
35569280,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
35569282,2022,Cautious Optimism,,,Dermatology,East Asia
35570822,2023,Cautious Optimism,,,Medical Education,North America
35573620,2022,Cautious Optimism,,,Surgery,South/Southeast Asia
35573928,2021,Caution,safety_clinical|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,North America
35575434,2022,Cautious Optimism,,,Oncology,North America
35576561,2022,Cautious Optimism,,,Oncology,East Asia
35576849,2022,Cautious Optimism,,,Oncology,East Asia
35576929,2022,Cautious Optimism,,,Neurology / Neuroscience,North America
35577283,2023,Cautious Optimism,,,Pediatrics,North America
35579816,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35579817,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
35579955,2022,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
35580973,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
