year,stance,title,journal,quartile,confidence,predictive,pmid
2025,Cautious Optimism,Applications and prospects of artificial intelligence in the auxiliary diagnosis of pediatric pulmonary tuberculosis.,Frontiers in microbiology,Q1,High,yes,41608688
2025,Cautious Optimism,Artificial intelligence and multimodal imaging in orthopaedics: from technological advances to clinical translation.,Frontiers in medicine,Q1,High,yes,41585271
2025,Cautious Optimism,"Applications, image analysis, and interpretation of computer vision in medical imaging.",Frontiers in radiology,Q1,High,yes,41585084
2025,Cautious Optimism,A Brief Review of Artificial Intelligence in Living Kidney Donation.,Transplant international : official journal of the European Society for Organ Transplantation,Q1,High,yes,41573384
2025,Neutral,Transparency in research: An analysis of ChatGPT usage acknowledgment by authors across disciplines and geographies.,Accountability in research,Q1,High,no,37877216
2025,Neutral,"A comparative accuracy study of multimodal LLMs, VLM and agent-based framework for pulmonary nodule detection on chest radiographs.",Frontiers in digital health,Q1,High,no,41675260
2025,Neutral,Automated versus human scoring of the Rey-Osterrieth Complex Figure Test: a rapid review.,Frontiers in psychiatry,Q1,High,no,41614114
2025,Neutral,The top 100 cited articles on artificial intelligence in Alzheimer's disease and mild cognitive impairment: a bibliometric analysis.,Frontiers in aging neuroscience,Q1,High,no,41601600
2025,Neutral,"SWE, C-TIRADS and AI-assisted diagnostic systems in distinguishing thyroid nodules of different lesion size: Which has better diagnostic performance?",Frontiers in endocrinology,Q1,High,no,41573208
2025,Neutral,Performance comparison of artificial intelligence models in predicting 72-h emergency department unscheduled return visits.,Frontiers in public health,Q1,High,no,41487618
2025,Neutral,Research Progress and Clinical Implications of Generative Artificial Intelligence in Perinatal Health Care for Advanced Maternal Age Pregnant Women [Retraction].,International journal of women's health,Q1,High,no,41451348
2025,Neutral,The research hotspots and trends of artificial intelligence technology in nursing management: a bibliometric study.,Frontiers in medicine,Q1,High,no,41451100
2026,Advocacy,An AI-Enabled Nursing Future With no Documentation Burden: A Vision for a New Reality.,Journal of advanced nursing,Q1,High,yes,40129115
2026,Advocacy,Transforming plastic surgery: an innovative role of Chat GPT in plastic surgery practices.,Updates in surgery,Q1,High,yes,40067594
2026,Advocacy,Convergence: Multi-omics and AI are reshaping the landscape biomedical research.,Biochimica et biophysica acta. Molecular basis of disease,Q1,High,yes,40865690
2026,Advocacy,Small language models: The big play for agentic artificial intelligence in orthopaedics.,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Q1,High,yes,41144760
2026,Advocacy,Translating multimodal foundation models into oncology: Toward a future where AI directs diagnosis and therapy.,Genes & diseases,Q1,High,yes,41847347
2026,Advocacy,A Custom Artificial Intelligence GPT-4 Model for Pediatric Cardiology: Surpassing the Board Exam Threshold and Transforming Medical Learning.,The Canadian journal of cardiology,Q1,High,yes,41276215
2026,Advocacy,"Re-engineering the disordered mind: clinical experimentation, dynamical systems, and AI for personalized psychiatry.",Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Q1,High,yes,41407866
2026,Advocacy,Precision dermatology 2050: AI-driven personalized monitoring and individualized treatment.,Journal of the European Academy of Dermatology and Venereology : JEADV,Q1,High,yes,41392515
2026,Alarm,Beyond Doomsday Fears: Why We Need to Consider the Potential Harms of AI Psychotherapy.,The American journal of bioethics : AJOB,Q1,High,no,39913781
2026,Alarm,Does ChatGPT update itself? Accuracy of ChatGPT in tympanostomy tube guidance: A comparative analysis with current literature.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Q1,High,no,40849397
2026,Alarm,Unconditional latent diffusion models memorize patient imaging data.,Nature biomedical engineering,Q1,High,no,40790276
2026,Alarm,Deep learning-based radiomics does not improve residual cancer burden prediction post-chemotherapy in LIMA breast MRI trial.,European radiology,Q1,High,no,40770139
2026,Alarm,'ChatGPT can make mistakes' warnings fail: A randomized controlled trial.,Medical education,Q1,High,no,40998694
2026,Alarm,Does robot-assisted gait training represent a true advancement in post-stroke walking rehabilitation?,Expert review of neurotherapeutics,Q1,High,no,40974068
2026,Alarm,Challenges and Limitations of Multimodal Large Language Models in Interpreting Pediatric Panoramic Radiographs.,International journal of paediatric dentistry,Q1,High,no,40958411
2026,Alarm,Postoperative data leakage in AI-based IOL power prediction formulas: a hidden source of bias.,Experimental eye research,Q1,High,no,41161368
2026,Caution,"Augmented intelligence and dermatology-Part II: Bias, benchmarks, guidelines, ethics, regulation, and future directions.",Journal of the American Academy of Dermatology,Q1,High,no,40090590
2026,Caution,How Do Radiologists Currently Monitor AI in Radiology and What Challenges Do They Face? An Interview Study and Qualitative Analysis.,Journal of imaging informatics in medicine,Q1,High,no,40199833
2026,Caution,Mask of Truth: Model Sensitivity to Unexpected Regions of Medical Images.,Journal of imaging informatics in medicine,Q1,High,no,40394319
2026,Caution,Tomorrow's doctors are robots: Redefining healthcare education and practice in the technological revolution.,Medical education,Q1,High,no,40390563
2026,Caution,Mitigating Bias in Machine Learning Models with Ethics-Based Initiatives: The Case of Sepsis.,The American journal of bioethics : AJOB,Q1,High,no,40354171
2026,Caution,A Justice-First Approach to Ambient Intelligence in Healthcare.,The American journal of bioethics : AJOB,Q1,High,no,40340546
2026,Caution,"Assisting, Replicating, or Autonomously Acting? An Ethical Framework for Integrating AI Tools and Technologies in Healthcare.",Bioethics,Q1,High,no,40679067
2026,Caution,Applications and potential of ChatGPT in dentistry: Scoping review of research perspectives.,Journal of dental sciences,Q1,High,no,41585200
2026,Cautious Optimism,Digitalomics: Towards Artificial Intelligence / Machine Learning-Based Precision Cardiovascular Medicine.,Circulation journal : official journal of the Japanese Circulation Society,Q1,High,yes,39894532
2026,Cautious Optimism,Improving the Real-Time Classification of Disease Severity in Ulcerative Colitis: Artificial Intelligence as the Trigger for a Second Opinion.,The American journal of gastroenterology,Q1,High,yes,40019166
2026,Cautious Optimism,Matching Human Expertise: ChatGPT's Performance on Hand Surgery Examinations.,"Hand (New York, N.Y.)",Q1,High,no,40114359
2026,Cautious Optimism,How Artificial Intelligence Can Revolutionize Evidence-Based Health Care: A Critical Commentary.,JDR clinical and translational research,Q1,High,yes,40070105
2026,Cautious Optimism,The Augmented Colonoscopy With Computer-Aided Polyp Characterization Study: Prospective Study Comparing the Diagnostic Reliability of Optical Diagnosis of Trainees With Experts Without Artificial Intelligence.,The American journal of gastroenterology,Q1,High,no,40434246
2026,Cautious Optimism,"Generative Artificial Intelligence, With Constrained Information, Outperforms Pre-Doctoral Student Average on Oral Pathology Differential Diagnosis Questions.",European journal of dental education : official journal of the Association for Dental Education in Europe,Q1,High,no,40359137
2026,Cautious Optimism,Improving radiology reporting accuracy: use of GPT-4 to reduce errors in reports.,Abdominal radiology (New York),Q1,High,no,40576664
2026,Cautious Optimism,Artificial intelligence in imaging diagnosis of liver tumors: current status and future prospects.,Abdominal radiology (New York),Q1,High,yes,40536541
2026,Neutral,Feasibility and accuracy of single maxillary molar designed by an implicit neural network (INN)-based model: A comparative study.,Journal of prosthodontics : official journal of the American College of Prosthodontists,Q1,High,no,39910763
2026,Neutral,Augmented intelligence and dermatology-Part I: Core concepts and applications.,Journal of the American Academy of Dermatology,Q1,High,no,40090589
2026,Neutral,AI-Generated vs. Traditional STL Models in CBCT Imaging: A Pilot Study on Measurements Accuracy and Reliability.,Journal of imaging informatics in medicine,Q1,High,no,40240655
2026,Neutral,Accuracy Assessment of Human and Artificial Intelligence-Assisted Bitewing Radiography and Near-Infrared Reflectance Imaging-Based Methods for Interproximal Caries Detection: A Histological Validation.,Caries research,Q1,High,no,40451163
2026,Neutral,Global Trends in the Use of Artificial Intelligence in Dental Education: A Bibliometric Analysis.,European journal of dental education : official journal of the Association for Dental Education in Europe,Q1,High,no,40440490
2026,Neutral,Efficacy of an Automated Pulmonary Embolism (PE) Detection Algorithm on Routine Contrast-Enhanced Chest CT Imaging for Non-PE Studies.,Journal of imaging informatics in medicine,Q1,High,no,40563035
2026,Neutral,Performance Comparison of Machine Learning Using Radiomic Features and CNN-Based Deep Learning in Benign and Malignant Classification of Vertebral Compression Fractures Using CT Scans.,Journal of imaging informatics in medicine,Q1,High,no,40456998
2026,Neutral,Diagnostic performance of artificial intelligence models for pulmonary nodule classification: a multi-model evaluation.,European radiology,Q1,High,no,40715822
